index,name,lat,lng
656398641,A5,37.6126267,-122.389153
670132148,A12,37.6116789,-122.3904325
670132149,A11,37.6114793,-122.3899757
670132150,A7,37.612061,-122.3895314
670132151,A9,37.6115133,-122.3898997
670132152,A10,37.6117401,-122.3904608
670132161,A6,37.6128699,-122.389726
670132162,A8,37.612301,-122.3900981
670132171,A4,37.6133125,-122.3894247
670132175,A3,37.6133247,-122.3886967
670132178,A1,37.6138855,-122.3883242
670132179,A2,37.613863,-122.3890589
1096077577,22,37.613619,-122.3852305
1096077829,20,37.613984,-122.3853729
1096077855,24,37.6132324,-122.385075
1096077884,21,37.6138672,-122.3850134
1096077889,23,37.613472,-122.3848632
1096078161,25,37.6128813,-122.3849705
1096078294,36,37.6125647,-122.3858691
1096078316,35,37.6124373,-122.3859656
1096078332,34,37.6122354,-122.3859362
1096078336,33,37.612187,-122.3856919
1096078364,32,37.6122545,-122.385523
1096078376,32A,37.612459,-122.385531
1096081658,40,37.6151233,-122.3836345
1096081782,42,37.6149273,-122.3831627
1096081845,44,37.614751,-122.3827389
1096081912,46,37.6146176,-122.3825348
1096081981,48,37.6145879,-122.3823068
1096082054,47,37.6147833,-122.3821352
1096082160,45,37.6149746,-122.3823122
1096082223,43,37.6152142,-122.3829722
1096082239,41,37.615408,-122.383444
1096086060,68,37.6183948,-122.3853058
1096086063,69,37.6185222,-122.3857618
1096086069,70,37.6185605,-122.3861587
1096086074,71,37.6185562,-122.3865342
1096086083,72,37.6184033,-122.3872584
1096086091,73,37.6181483,-122.3877842
1096086101,74,37.6178849,-122.3880792
1096086105,75,37.6175237,-122.3883796
1096086451,73A,37.6181865,-122.3877198
1096086801,81,37.6200052,-122.3882777
1096086807,83,37.6202431,-122.3888463
1096086813,85,37.6204725,-122.3893988
1096086819,87A,37.620702,-122.3899728
1096086824,89,37.6209059,-122.3903591
1096086831,90,37.6211014,-122.3903269
1096086842,88,37.6212289,-122.390166
1096086884,86,37.6211439,-122.3898334
1096086920,84,37.6208592,-122.3891521
1096086949,82,37.6205788,-122.3884654
1096086975,80,37.6202898,-122.3877627
1096086990,79,37.6207742,-122.3870921
1096087010,78,37.6207955,-122.386722
1096087014,77,37.6205278,-122.3868937
1096087028,76,37.6202813,-122.3870385
1096087800,87,37.620668,-122.3898924
1096088014,77A,37.6203408,-122.3870117
1096088587,G99A,37.6186115,-122.393449
1096088599,G101,37.6188834,-122.3932666
1096088604,G102,37.6187832,-122.3929405
1096088610,G100,37.6184881,-122.3922495
1096088616,G98,37.6182476,-122.3916666
1096088622,G96,37.6179447,-122.3909452
1096088630,G94,37.6176493,-122.3902444
1096088637,G92,37.6173622,-122.3895383
1096088644,G91,37.6174202,-122.3910917
1096088648,G93,37.6177342,-122.3918109
1096088656,G95,37.618028,-122.3925181
1096088693,G97,37.6183308,-122.3932401
1096090293,G99,37.6185562,-122.3934651
1096090341,G101A,37.6188409,-122.3933095
1096091499,G92A,37.617324,-122.3894418
1245480290,50,37.6171061,-122.3822424
1245481198,55,37.6175756,-122.3810354
1245481365,53,37.6168292,-122.3809616
1245481437,52,37.6169872,-122.3813681
1245481477,54A,37.6170523,-122.3808194
1245482579,51A,37.6171439,-122.3820681
1245482631,51B,37.6171061,-122.3816738
1245483443,54B,37.6174163,-122.3809549
1245485241,56B,37.6181939,-122.3812554
1245485319,56A,37.6179148,-122.3811278
1245486609,57,37.6182895,-122.3814781
1245486974,59,37.6175222,-122.3824033
1245486986,58B,37.6179178,-122.3818185
1245487086,58A,37.6181748,-122.3817274
1245489184,60,37.6183072,-122.3845775
1245489286,60A,37.6184166,-122.3845058
1245492515,62B,37.6186716,-122.3843422
1245492516,62A,37.6187693,-122.3842778
1245492522,66,37.6192346,-122.3839881
1245492557,66A,37.6191517,-122.3840418
1245492575,64,37.6189818,-122.3841437
1245492693,64A,37.6188925,-122.3842
1245493999,67,37.6193727,-122.3839238
1245494401,65,37.6195044,-122.3840337
1245494561,65A,37.6195299,-122.3842456
1245494716,63,37.6194385,-122.384369
1245494717,61,37.6190901,-122.3845943
