# SDSS-SOSS Airport Adaptation : routes.txt
# 2014/04/11 07:30:07
# Airport: CLT
#
# There are two sections to this file: 
# 1) departure routes from gate:spot:departure_node 
#    for ONLY those routes currently defined for the simulation
# 2) arrival routes from arrival_node:spot:gate 
#    for ONLY those routes currently defined for the simulation
#
# Format: <StartNode>_<EndNode> RouteNode1,..,RouteNodeN
#
#
# Departure Routes
# ----------------
0_786 630,739,738,656,743,744,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
5_786 717,756,755,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
6_786 739,738,656,743,744,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
7_786 756,755,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
8_786 738,656,743,744,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
9_786 755,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
10_786 656,743,744,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
11_786 657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
13_786 521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
12_786 747,744,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
1_786 510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
3_786 517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
2_786 519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
4_786 543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
41_786 754,753,751,752,717,756,755,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
49_786 375,380,371,379,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
50_786 750,751,752,717,756,755,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
51_786 380,371,379,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
52_786 752,717,756,755,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
53_786 371,379,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
54_786 363,364,499,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
55_786 379,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
56_786 365,367,364,499,657,510,543,746,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
42_786 381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
43_786 366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
44_786 390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
45_786 384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
46_786 553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
47_786 396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
48_786 397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
67_786 411,410,347,349,408,407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
68_786 376,375,380,371,379,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
69_786 410,347,349,408,407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
70_786 377,737,371,379,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
71_786 347,349,408,407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
72_786 378,735,379,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
73_786 349,408,407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
74_786 670,734,381,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
57_786 408,407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
58_786 374,736,733,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
59_786 407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
60_786 736,733,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
61_786 406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
62_786 395,733,390,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
63_786 460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
64_786 382,355,553,389,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
65_786 462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
66_786 403,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
75_786 353,347,349,408,407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
80_786 354,708,349,408,407,405,406,459,460,461,462,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
81_786 456,427,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
82_786 773,430,772,582,779,342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
83_786 537,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
84_786 582,779,342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
85_786 538,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
86_786 779,342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
87_786 539,209,538,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
76_786 342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
77_786 450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
78_786 783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
79_786 448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
88_786 583,341,343,773,430,772,582,779,342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
101_786 344,343,773,430,772,582,779,342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
112_786 584,430,772,582,779,342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
123_786 770,769,768,767,765,764,763,761,540,759,757,552,433,434,549,435,437,723,722,721,393,703,207,662,424,679,443,719,718,776,444,445,581,446,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
125_786 782,779,342,771,783,447,448,449,450,451,206,547,429,724,725,726,727,402,370,475,211,397,388,396,385,384,383,366,497,505,508,509,534,502,514,513,515,517,519,521,701,908,1248,1178,1156,1145,1134,1107,1083,956,225,1316,267,233
