#x	y	index	Name	Type	to	from
664	-1945	0	W0	TAXI_NODE	1	1
673	-1940	1	W1	TAXI_NODE	1	1
678	-1930	2	W2	TAXI_NODE	1	1
677	-1905	3	W3	TAXI_NODE	1	1
672	-1895	4	W4	TAXI_NODE	1	1
664	-1891	5	Spot1	SPOT_NODE	1	1
610	-1891	6	W6	TAXI_NODE	1	1
593	-1900	7	W7	TAXI_NODE	1	1
585	-1913	8	W8	TAXI_NODE	1	1
585	-1926	9	W9	TAXI_NODE	1	1
593	-1939	10	W10	TAXI_NODE	1	1
604	-1946	11	W11	TAXI_NODE	1	1
673	-1948	12	W12	TAXI_NODE	1	1
678	-1956	13	W13	TAXI_NODE	1	1
679	-1990	14	W14	TAXI_NODE	1	1
675	-1997	15	W15	TAXI_NODE	1	1
667	-2001	16	W16	TAXI_NODE	1	1
675	-2005	17	W17	TAXI_NODE	1	1
679	-2012	18	W18	TAXI_NODE	1	1
680	-2042	19	W19	TAXI_NODE	1	1
676	-2051	20	W20	TAXI_NODE	1	1
667	-2056	21	W21	TAXI_NODE	1	1
675	-2059	22	W22	TAXI_NODE	1	1
680	-2067	23	W23	TAXI_NODE	1	1
681	-2100	24	W24	TAXI_NODE	1	1
677	-2109	25	W25	TAXI_NODE	1	1
668	-2113	26	W26	TAXI_NODE	1	1
676	-2116	27	W27	TAXI_NODE	1	1
681	-2124	28	W28	TAXI_NODE	1	1
683	-2160	29	W29	TAXI_NODE	1	1
678	-2168	30	W30	TAXI_NODE	1	1
670	-2173	31	W31	TAXI_NODE	1	1
678	-2177	32	W32	TAXI_NODE	1	1
683	-2185	33	W33	TAXI_NODE	1	1
683	-2212	34	W34	TAXI_NODE	1	1
679	-2222	35	W35	TAXI_NODE	1	1
670	-2227	36	W36	TAXI_NODE	1	1
677	-2230	37	W37	TAXI_NODE	1	1
684	-2238	38	W38	TAXI_NODE	1	1
685	-2269	39	W39	TAXI_NODE	1	1
680	-2279	40	W40	TAXI_NODE	1	1
670	-2283	41	W41	TAXI_NODE	1	1
680	-2286	42	W42	TAXI_NODE	1	1
685	-2295	43	W43	TAXI_NODE	1	1
686	-2330	44	W44	TAXI_NODE	1	1
681	-2339	45	W45	TAXI_NODE	1	1
672	-2343	46	W46	TAXI_NODE	1	1
680	-2347	47	W47	TAXI_NODE	1	1
686	-2355	48	W48	TAXI_NODE	1	1
687	-2384	49	W49	TAXI_NODE	1	1
683	-2393	50	W50	TAXI_NODE	1	1
673	-2398	51	W51	TAXI_NODE	1	1
682	-2402	52	W52	TAXI_NODE	1	1
687	-2411	53	W53	TAXI_NODE	1	1
688	-2441	54	W54	TAXI_NODE	1	1
684	-2450	55	W55	TAXI_NODE	1	1
675	-2456	56	W56	TAXI_NODE	1	1
684	-2458	57	W57	TAXI_NODE	1	1
689	-2467	58	W58	TAXI_NODE	1	1
