# SDSS-SOSS Airport Adaptation : links.txt
# Airport: CLT
# 2013/09/30 15:47:40
#
# Link#	From Node	To Node	From Name	To Name	Taxiway Label	Link Type
0	23	22	AIR_CARGO-8s	AIR_CARGO-8	-	GATE_LINK
1	32	29	ANG2s	ANG13	-	RAMP_LINK
2	36	26	ANG6s	ANG10	-	RAMP_LINK
3	37	31	ANG7s	ANG2	-	RAMP_LINK
4	37	36	ANG7s	ANG6s	-	RAMP_LINK
5	38	25	ANG8s	ANG1	-	RAMP_LINK
6	38	37	ANG8s	ANG7s	-	RAMP_LINK
7	40	39	ANG9s	ANG9	-	RAMP_LINK
8	131	130	EXIT1	EXIT0	E5	TAXI_LINK
9	137	136	EXIT39s	EXIT39	-	TAXI_LINK
10	142	140	EXIT6s	EXIT6	-	TAXI_LINK
11	144	143	EXIT72s	EXIT72	-	TAXI_LINK
12	149	148	EXIT86s	EXIT86	-	RUNWAY_XING_LINK
13	152	151	EXIT94s	EXIT94	-	TAXI_LINK
14	172	168	GA8	GA4	-	GATE_LINK
15	174	173	GA9s	GA9	-	GATE_LINK
16	183	182	HC16s	HC16	-	GATE_LINK
17	186	185	HC18s	HC18	-	GATE_LINK
18	188	187	HC19s	HC19	-	GATE_LINK
19	189	175	HC1s	HC1	-	GATE_LINK
20	192	189	HC20s	HC1s	-	RAMP_LINK
21	192	191	HC20s	HC20	-	GATE_LINK
22	194	186	HC3s	HC18s	-	RAMP_LINK
23	194	188	HC3s	HC19s	-	RAMP_LINK
24	194	193	HC3s	HC3	-	GATE_LINK
25	197	196	HC5s	HC5	-	GATE_LINK
26	201	200	HC8s	HC8	-	GATE_LINK
27	203	202	HC9s	HC9	-	GATE_LINK
28	222	218	QUEUE25	QUEUE21	-	QUEUE_LINK
29	222	219	QUEUE25	QUEUE22	-	QUEUE_LINK
30	226	216	QUEUE29	QUEUE2	-	QUEUE_LINK
31	232	205	QUEUE34	QUEUE1	-	QUEUE_LINK
32	233	205	QUEUE35	QUEUE1	-	QUEUE_LINK
33	236	227	QUEUE4	QUEUE3	-	TAXI_LINK
34	238	220	QUEUE6	QUEUE23	-	QUEUE_LINK
35	238	221	QUEUE6	QUEUE24	-	QUEUE_LINK
36	239	235	QUEUE7	QUEUE37	-	QUEUE_LINK
37	240	237	QUEUE8	QUEUE5	-	QUEUE_LINK
38	241	237	QUEUE9	QUEUE5	-	QUEUE_LINK
39	241	240	QUEUE9	QUEUE8	-	QUEUE_LINK
40	259	232	RC-18C-36C-E-E1	QUEUE34	-	QUEUE_LINK
41	260	225	RC-18C-36C-E-E2	QUEUE28	-	QUEUE_LINK
42	261	206	RC-18C-36C-E10-E	QUEUE10	-	QUEUE_LINK
43	261	208	RC-18C-36C-E10-E	QUEUE12	-	QUEUE_LINK
44	262	207	RC-18C-36C-E2-E	QUEUE11	-	QUEUE_LINK
45	262	233	RC-18C-36C-E2-E	QUEUE35	-	QUEUE_LINK
46	264	140	RC-18C-36C-E4-SE	EXIT6	E4	TAXI_LINK
47	265	150	RC-18C-36C-E6-NE	EXIT9	E6	TAXI_LINK
48	266	133	RC-18C-36C-E7-SE	EXIT11	E7	TAXI_LINK
49	266	134	RC-18C-36C-E7-SE	EXIT13	-	TAXI_LINK
50	267	141	RC-18C-36C-E8-NE	EXIT61	E8	TAXI_LINK
51	270	269	RC-18C-36C-N-W	RC-18C-36C-N-E	-	RUNWAY_XING_LINK
52	272	271	RC-18C-36C-S-W	RC-18C-36C-S-E	-	RUNWAY_XING_LINK
53	274	273	RC-18C-36C-V4-W	RC-18C-36C-V4-E	-	RUNWAY_XING_LINK
54	276	275	RC-18C-36C-V5-W	RC-18C-36C-V5-E	-	RUNWAY_XING_LINK
55	278	277	RC-18L-36R-A-SW	RC-18L-36R-A-NE	-	TAXI_LINK
56	279	226	RC-18L-36R-C-W	QUEUE29	C	QUEUE_LINK
57	280	139	RC-18L-36R-C10-NW	EXIT56	C10	TAXI_LINK
58	281	209	RC-18L-36R-C11-W	QUEUE13	-	TAXI_LINK
59	281	221	RC-18L-36R-C11-W	QUEUE24	-	TAXI_LINK
60	281	227	RC-18L-36R-C11-W	QUEUE3	-	TAXI_LINK
61	282	220	RC-18L-36R-C12-W	QUEUE23	-	TAXI_LINK
62	282	240	RC-18L-36R-C12-W	QUEUE8	C12	TAXI_LINK
63	283	210	RC-18L-36R-C2-W	QUEUE14	-	QUEUE_LINK
64	283	211	RC-18L-36R-C2-W	QUEUE15	-	QUEUE_LINK
65	283	228	RC-18L-36R-C2-W	QUEUE30	-	QUEUE_LINK
66	288	135	RC-18L-36R-C6-NW	EXIT37	C6	TAXI_LINK
67	289	149	RC-18L-36R-C7-W	EXIT86s	-	RUNWAY_XING_LINK
68	291	235	RC-18L-36R-D-E	QUEUE37	-	TAXI_LINK
69	291	282	RC-18L-36R-D-E	RC-18L-36R-C12-W	-	RUNWAY_XING_LINK
70	292	285	RC-18L-36R-D2-E	RC-18L-36R-C4-W	-	RUNWAY_XING_LINK
71	293	286	RC-18L-36R-D3-NE	RC-18L-36R-C5-SW	-	RUNWAY_XING_LINK
72	293	287	RC-18L-36R-D3-NE	RC-18L-36R-C5-W	-	RUNWAY_XING_LINK
73	294	148	RC-18L-36R-D4-SE	EXIT86	D4	RUNWAY_XING_LINK
74	295	136	RC-18L-36R-D5-NE	EXIT39	D5	TAXI_LINK
75	296	290	RC-18L-36R-D6-E	RC-18L-36R-C9-W	-	TAXI_LINK
76	297	281	RC-18L-36R-D8-E	RC-18L-36R-C11-W	-	RUNWAY_XING_LINK
77	298	132	RC-18L-36R-M-NE	EXIT101	M	TAXI_LINK
78	299	298	RC-18L-36R-M-SW	RC-18L-36R-M-NE	-	RUNWAY_XING_LINK
79	301	137	RC-18L-36R-R-SE	EXIT39s	-	TAXI_LINK
80	301	300	RC-18L-36R-R-SE	RC-18L-36R-R-NW	-	RUNWAY_XING_LINK
81	302	215	RC-18R-36L-W-E1	QUEUE19	W	QUEUE_LINK
82	302	234	RC-18R-36L-W-E1	QUEUE36	-	QUEUE_LINK
83	303	230	RC-18R-36L-W-E2	QUEUE32	-	QUEUE_LINK
84	304	212	RC-18R-36L-W2-E	QUEUE16	W2	QUEUE_LINK
85	304	213	RC-18R-36L-W2-E	QUEUE17	-	QUEUE_LINK
86	304	229	RC-18R-36L-W2-E	QUEUE31	-	QUEUE_LINK
87	305	145	RC-18R-36L-W3-SE	EXIT74	W3	TAXI_LINK
88	306	143	RC-18R-36L-W4-SE	EXIT72	W4	TAXI_LINK
89	307	146	RC-18R-36L-W7-NE	EXIT78	W7	TAXI_LINK
90	308	147	RC-18R-36L-W8-NE	EXIT79	W8	TAXI_LINK
91	309	231	RC-18R-36L-W9-E	QUEUE33	-	QUEUE_LINK
92	310	223	RC-5-23-A-NW	QUEUE26	-	TAXI_LINK
93	311	214	RC-5-23-A-SE	QUEUE18	-	TAXI_LINK
94	311	224	RC-5-23-A-SE	QUEUE27	-	TAXI_LINK
95	311	310	RC-5-23-A-SE	RC-5-23-A-NW	-	RUNWAY_XING_LINK
96	314	154	RC-5-23-B-NW	EXIT95s	-	TAXI_LINK
97	314	312	RC-5-23-B-NW	RC-5-23-A4-SE	-	RUNWAY_XING_LINK
98	315	138	RC-5-23-C-N1	EXIT45	-	RUNWAY_XING_LINK
99	316	138	RC-5-23-C-N2	EXIT45	-	RUNWAY_XING_LINK
100	317	138	RC-5-23-C-S	EXIT45	C	RUNWAY_XING_LINK
101	319	151	RC-5-23-D-S	EXIT94	D	TAXI_LINK
102	319	318	RC-5-23-D-S	RC-5-23-D-N	-	RUNWAY_XING_LINK
103	321	320	RC-5-23-E-S	RC-5-23-E-N	-	RUNWAY_XING_LINK
104	323	322	RC-5-23-F-S	RC-5-23-F-N	-	RUNWAY_XING_LINK
105	325	324	RC-5-23-G-SE	RC-5-23-G-NW	-	RUNWAY_XING_LINK
106	326	153	RC-5-23-M2-NW	EXIT95	M2	TAXI_LINK
107	328	327	RC-5-23-R-SE	RC-5-23-R-NW	-	RUNWAY_XING_LINK
108	330	329	RMP0s	RMP0	-	RAMP_LINK
109	331	189	RMP1	HC1s	-	RAMP_LINK
110	333	156	RMP100	GA10	-	RAMP_LINK
111	333	165	RMP100	GA3	-	GATE_LINK
112	333	168	RMP100	GA4	-	GATE_LINK
113	335	76	RMP103	D10	-	GATE_LINK
114	336	334	RMP104	RMP102	-	RAMP_LINK
115	337	101	RMP104s	E2	-	GATE_LINK
116	337	336	RMP104s	RMP104	-	RAMP_LINK
117	338	129	RMP105	E9	-	GATE_LINK
118	340	71	RMP107	C6	-	GATE_LINK
119	341	91	RMP108	E12	-	GATE_LINK
120	342	73	RMP109	C8	-	GATE_LINK
121	342	340	RMP109	RMP107	-	RAMP_LINK
122	343	93	RMP110	E14	-	GATE_LINK
123	343	341	RMP110	RMP108	-	RAMP_LINK
124	345	75	RMP112s	D1	-	GATE_LINK
125	345	340	RMP112s	RMP107	-	RAMP_LINK
126	346	80	RMP113	D2	-	GATE_LINK
127	346	340	RMP113	RMP107	-	RAMP_LINK
128	349	347	RMP116	RMP114	-	RAMP_LINK
129	349	348	RMP116	RMP115	-	RAMP_LINK
130	353	19	RMP12	AIR_CARGO-5	-	GATE_LINK
131	354	54	RMP121	B7	-	GATE_LINK
132	355	354	RMP122	RMP121	-	RAMP_LINK
133	356	56	RMP123	B9	-	GATE_LINK
134	357	43	RMP124	B11	-	GATE_LINK
135	357	356	RMP124	RMP123	-	RAMP_LINK
136	358	354	RMP125	RMP121	-	RAMP_LINK
137	358	355	RMP125	RMP122	-	RAMP_LINK
138	358	356	RMP125	RMP123	-	RAMP_LINK
139	361	349	RMP128	RMP116	-	RAMP_LINK
140	361	352	RMP128	RMP119	-	RAMP_LINK
141	362	53	RMP129	B6	-	GATE_LINK
