,expr_var,failed,nth
0,30.0,0.0,0.0
1,30.0,0.0,1.0
2,30.0,0.0,2.0
3,30.0,0.0,3.0
4,30.0,0.0,4.0
5,50.0,0.0,0.0
6,50.0,0.0,1.0
7,50.0,0.0,2.0
8,50.0,0.0,3.0
9,50.0,0.0,4.0
10,70.0,0.0,0.0
11,70.0,0.0,1.0
12,70.0,0.0,2.0
13,70.0,0.0,3.0
14,70.0,0.0,4.0
15,90.0,0.0,0.0
16,90.0,0.0,1.0
17,90.0,0.0,2.0
18,90.0,0.0,3.0
19,90.0,0.0,4.0
20,110.0,0.0,0.0
21,110.0,0.0,1.0
22,110.0,0.0,2.0
23,110.0,0.0,3.0
24,110.0,0.0,4.0
25,130.0,0.0,0.0
26,130.0,0.0,1.0
27,130.0,0.0,2.0
28,130.0,0.0,3.0
29,130.0,0.0,4.0
30,150.0,0.0,0.0
31,150.0,0.0,1.0
32,150.0,0.0,2.0
33,150.0,0.0,3.0
34,150.0,0.0,4.0
35,170.0,0.0,0.0
36,170.0,0.0,1.0
37,170.0,0.0,2.0
38,170.0,0.0,3.0
39,170.0,0.0,4.0
40,190.0,0.0,0.0
41,190.0,0.0,1.0
42,190.0,0.0,2.0
43,190.0,0.0,3.0
44,190.0,0.0,4.0
45,210.0,0.0,0.0
46,210.0,0.0,1.0
47,210.0,0.0,2.0
48,210.0,0.0,3.0
49,210.0,0.0,4.0
