,expr_var,failed,nth
0,30.0,0.0,0.0
1,30.0,0.0,1.0
2,30.0,0.0,2.0
3,30.0,0.0,3.0
4,30.0,0.0,4.0
5,30.0,0.0,5.0
6,30.0,0.0,6.0
7,30.0,0.0,7.0
8,30.0,0.0,8.0
9,30.0,0.0,9.0
10,30.0,0.0,10.0
11,30.0,0.0,11.0
12,30.0,0.0,12.0
13,30.0,0.0,13.0
14,30.0,0.0,14.0
15,30.0,0.0,15.0
16,30.0,0.0,16.0
17,30.0,0.0,17.0
18,30.0,0.0,18.0
19,30.0,0.0,19.0
20,60.0,0.0,0.0
21,60.0,0.0,1.0
22,60.0,0.0,2.0
23,60.0,0.0,3.0
24,60.0,0.0,4.0
25,60.0,0.0,5.0
26,60.0,0.0,6.0
27,60.0,0.0,7.0
28,60.0,0.0,8.0
29,60.0,0.0,9.0
30,60.0,0.0,10.0
31,60.0,0.0,11.0
32,60.0,0.0,12.0
33,60.0,0.0,13.0
34,60.0,0.0,14.0
35,60.0,0.0,15.0
36,60.0,0.0,16.0
37,60.0,0.0,17.0
38,60.0,0.0,18.0
39,60.0,0.0,19.0
40,90.0,0.0,0.0
41,90.0,0.0,1.0
42,90.0,0.0,2.0
43,90.0,0.0,3.0
44,90.0,0.0,4.0
45,90.0,0.0,5.0
46,90.0,0.0,6.0
47,90.0,1.0,7.0
48,90.0,0.0,8.0
49,90.0,0.0,9.0
50,90.0,0.0,10.0
51,90.0,0.0,11.0
52,90.0,0.0,12.0
53,90.0,0.0,13.0
54,90.0,0.0,14.0
55,90.0,0.0,15.0
56,90.0,0.0,16.0
57,90.0,0.0,17.0
58,90.0,1.0,18.0
59,90.0,0.0,19.0
60,120.0,1.0,0.0
61,120.0,0.0,1.0
62,120.0,0.0,2.0
63,120.0,1.0,3.0
64,120.0,0.0,4.0
65,120.0,0.0,5.0
66,120.0,1.0,6.0
67,120.0,1.0,7.0
68,120.0,0.0,8.0
69,120.0,0.0,9.0
70,120.0,1.0,10.0
71,120.0,0.0,11.0
72,120.0,0.0,12.0
73,120.0,0.0,13.0
74,120.0,0.0,14.0
75,120.0,0.0,15.0
76,120.0,0.0,16.0
77,120.0,0.0,17.0
78,120.0,0.0,18.0
79,120.0,1.0,19.0
80,150.0,1.0,0.0
81,150.0,0.0,1.0
82,150.0,0.0,2.0
83,150.0,1.0,3.0
84,150.0,0.0,4.0
85,150.0,0.0,5.0
86,150.0,1.0,6.0
87,150.0,0.0,7.0
88,150.0,0.0,8.0
89,150.0,0.0,9.0
90,150.0,0.0,10.0
91,150.0,0.0,11.0
92,150.0,1.0,12.0
93,150.0,0.0,13.0
94,150.0,0.0,14.0
95,150.0,1.0,15.0
96,150.0,0.0,16.0
97,150.0,0.0,17.0
98,150.0,0.0,18.0
99,150.0,0.0,19.0
