,expr_var,failed,nth
0,30.0,0.0,0.0
1,30.0,0.0,1.0
2,30.0,0.0,2.0
3,30.0,0.0,3.0
4,30.0,0.0,4.0
5,30.0,0.0,5.0
6,30.0,0.0,6.0
7,30.0,0.0,7.0
8,30.0,0.0,8.0
9,30.0,0.0,9.0
10,30.0,0.0,10.0
11,30.0,0.0,11.0
12,30.0,0.0,12.0
13,30.0,0.0,13.0
14,30.0,0.0,14.0
15,50.0,0.0,0.0
16,50.0,0.0,1.0
17,50.0,0.0,2.0
18,50.0,0.0,3.0
19,50.0,0.0,4.0
20,50.0,0.0,5.0
21,50.0,0.0,6.0
22,50.0,0.0,7.0
23,50.0,0.0,8.0
24,50.0,0.0,9.0
25,50.0,0.0,10.0
26,50.0,0.0,11.0
27,50.0,0.0,12.0
28,50.0,0.0,13.0
29,50.0,0.0,14.0
30,70.0,0.0,0.0
31,70.0,0.0,1.0
32,70.0,0.0,2.0
33,70.0,0.0,3.0
34,70.0,0.0,4.0
35,70.0,0.0,5.0
36,70.0,0.0,6.0
37,70.0,0.0,7.0
38,70.0,0.0,8.0
39,70.0,0.0,9.0
40,70.0,0.0,10.0
41,70.0,0.0,11.0
42,70.0,0.0,12.0
43,70.0,0.0,13.0
44,70.0,0.0,14.0
45,90.0,0.0,0.0
46,90.0,0.0,1.0
47,90.0,0.0,2.0
48,90.0,0.0,3.0
49,90.0,0.0,4.0
50,90.0,0.0,5.0
51,90.0,1.0,6.0
52,90.0,0.0,7.0
53,90.0,0.0,8.0
54,90.0,0.0,9.0
55,90.0,0.0,10.0
56,90.0,0.0,11.0
57,90.0,0.0,12.0
58,90.0,0.0,13.0
59,90.0,0.0,14.0
60,110.0,0.0,0.0
61,110.0,0.0,1.0
62,110.0,0.0,2.0
63,110.0,0.0,3.0
64,110.0,0.0,4.0
65,110.0,0.0,5.0
66,110.0,0.0,6.0
67,110.0,0.0,7.0
68,110.0,0.0,8.0
69,110.0,0.0,9.0
70,110.0,0.0,10.0
71,110.0,0.0,11.0
72,110.0,0.0,12.0
73,110.0,0.0,13.0
74,110.0,0.0,14.0
75,130.0,0.0,0.0
76,130.0,0.0,1.0
77,130.0,0.0,2.0
78,130.0,0.0,3.0
79,130.0,0.0,4.0
80,130.0,0.0,5.0
81,130.0,0.0,6.0
82,130.0,0.0,7.0
83,130.0,0.0,8.0
84,130.0,0.0,9.0
85,130.0,0.0,10.0
86,130.0,0.0,11.0
87,130.0,0.0,12.0
88,130.0,0.0,13.0
89,130.0,0.0,14.0
90,150.0,0.0,0.0
91,150.0,0.0,1.0
92,150.0,0.0,2.0
93,150.0,0.0,3.0
94,150.0,0.0,4.0
95,150.0,0.0,5.0
96,150.0,0.0,6.0
97,150.0,0.0,7.0
98,150.0,1.0,8.0
99,150.0,0.0,9.0
100,150.0,0.0,10.0
101,150.0,0.0,11.0
102,150.0,0.0,12.0
103,150.0,0.0,13.0
104,150.0,0.0,14.0
105,170.0,0.0,0.0
106,170.0,0.0,1.0
107,170.0,0.0,2.0
108,170.0,0.0,3.0
109,170.0,0.0,4.0
110,170.0,0.0,5.0
111,170.0,0.0,6.0
112,170.0,0.0,7.0
113,170.0,0.0,8.0
114,170.0,0.0,9.0
115,170.0,0.0,10.0
116,170.0,0.0,11.0
117,170.0,0.0,12.0
118,170.0,0.0,13.0
119,170.0,0.0,14.0
120,190.0,0.0,0.0
121,190.0,0.0,1.0
122,190.0,0.0,2.0
123,190.0,0.0,3.0
124,190.0,1.0,4.0
125,190.0,0.0,5.0
126,190.0,0.0,6.0
127,190.0,0.0,7.0
128,190.0,0.0,8.0
129,190.0,0.0,9.0
130,190.0,0.0,10.0
131,190.0,0.0,11.0
132,190.0,0.0,12.0
133,190.0,0.0,13.0
134,190.0,0.0,14.0
135,210.0,0.0,0.0
136,210.0,0.0,1.0
137,210.0,0.0,2.0
138,210.0,0.0,3.0
139,210.0,0.0,4.0
140,210.0,0.0,5.0
141,210.0,0.0,6.0
142,210.0,0.0,7.0
143,210.0,0.0,8.0
144,210.0,0.0,9.0
145,210.0,0.0,10.0
146,210.0,0.0,11.0
147,210.0,0.0,12.0
148,210.0,0.0,13.0
149,210.0,0.0,14.0
