,expr_var,failed,nth
0,120.0,0.0,0.0
1,120.0,0.0,1.0
2,120.0,0.0,2.0
3,120.0,1.0,3.0
4,120.0,0.0,4.0
5,120.0,4.0,5.0
6,120.0,0.0,6.0
7,120.0,0.0,7.0
8,120.0,0.0,8.0
9,120.0,0.0,9.0
10,120.0,2.0,10.0
11,120.0,0.0,11.0
12,120.0,1.0,12.0
13,120.0,0.0,13.0
14,120.0,0.0,14.0
15,120.0,0.0,15.0
16,120.0,0.0,16.0
17,120.0,0.0,17.0
18,120.0,0.0,18.0
19,120.0,0.0,19.0
20,120.0,0.0,20.0
21,120.0,1.0,21.0
22,120.0,0.0,22.0
23,120.0,0.0,23.0
24,120.0,0.0,24.0
25,120.0,0.0,25.0
26,120.0,0.0,26.0
27,120.0,1.0,27.0
28,120.0,0.0,28.0
29,120.0,0.0,29.0
30,180.0,0.0,0.0
31,180.0,0.0,1.0
32,180.0,0.0,2.0
33,180.0,1.0,3.0
34,180.0,0.0,4.0
35,180.0,0.0,5.0
36,180.0,0.0,6.0
37,180.0,0.0,7.0
38,180.0,0.0,8.0
39,180.0,0.0,9.0
40,180.0,0.0,10.0
41,180.0,0.0,11.0
42,180.0,0.0,12.0
43,180.0,1.0,13.0
44,180.0,0.0,14.0
45,180.0,1.0,15.0
46,180.0,0.0,16.0
47,180.0,0.0,17.0
48,180.0,0.0,18.0
49,180.0,0.0,19.0
50,180.0,3.0,20.0
51,180.0,0.0,21.0
52,180.0,0.0,22.0
53,180.0,0.0,23.0
54,180.0,0.0,24.0
55,180.0,0.0,25.0
56,180.0,1.0,26.0
57,180.0,0.0,27.0
58,180.0,0.0,28.0
59,180.0,0.0,29.0
60,240.0,0.0,0.0
61,240.0,0.0,1.0
62,240.0,1.0,2.0
63,240.0,0.0,3.0
64,240.0,0.0,4.0
65,240.0,1.0,5.0
66,240.0,0.0,6.0
67,240.0,1.0,7.0
68,240.0,0.0,8.0
69,240.0,2.0,9.0
70,240.0,0.0,10.0
71,240.0,0.0,11.0
72,240.0,3.0,12.0
73,240.0,5.0,13.0
74,240.0,0.0,14.0
75,240.0,2.0,15.0
76,240.0,0.0,16.0
77,240.0,2.0,17.0
78,240.0,2.0,18.0
79,240.0,1.0,19.0
80,240.0,0.0,20.0
81,240.0,0.0,21.0
82,240.0,0.0,22.0
83,240.0,2.0,23.0
84,240.0,1.0,24.0
85,240.0,0.0,25.0
86,240.0,0.0,26.0
87,240.0,0.0,27.0
88,240.0,1.0,28.0
89,240.0,1.0,29.0
90,300.0,0.0,0.0
91,300.0,0.0,1.0
92,300.0,0.0,2.0
93,300.0,0.0,3.0
94,300.0,1.0,4.0
95,300.0,0.0,5.0
96,300.0,5.0,6.0
97,300.0,0.0,7.0
98,300.0,1.0,8.0
99,300.0,0.0,9.0
100,300.0,2.0,10.0
101,300.0,3.0,11.0
102,300.0,3.0,12.0
103,300.0,0.0,13.0
104,300.0,3.0,14.0
105,300.0,0.0,15.0
106,300.0,0.0,16.0
107,300.0,0.0,17.0
108,300.0,1.0,18.0
109,300.0,0.0,19.0
110,300.0,1.0,20.0
111,300.0,0.0,21.0
112,300.0,0.0,22.0
113,300.0,0.0,23.0
114,300.0,1.0,24.0
115,300.0,3.0,25.0
116,300.0,1.0,26.0
117,300.0,1.0,27.0
118,300.0,0.0,28.0
119,300.0,0.0,29.0
120,360.0,2.0,0.0
121,360.0,3.0,1.0
122,360.0,2.0,2.0
123,360.0,4.0,3.0
124,360.0,2.0,4.0
125,360.0,1.0,5.0
126,360.0,1.0,6.0
127,360.0,1.0,7.0
128,360.0,2.0,8.0
129,360.0,3.0,9.0
130,360.0,2.0,10.0
131,360.0,2.0,11.0
132,360.0,3.0,12.0
133,360.0,0.0,13.0
134,360.0,0.0,14.0
135,360.0,0.0,15.0
136,360.0,0.0,16.0
137,360.0,2.0,17.0
138,360.0,2.0,18.0
139,360.0,2.0,19.0
140,360.0,2.0,20.0
141,360.0,1.0,21.0
142,360.0,1.0,22.0
143,360.0,1.0,23.0
144,360.0,0.0,24.0
145,360.0,0.0,25.0
146,360.0,1.0,26.0
147,360.0,0.0,27.0
148,360.0,1.0,28.0
149,360.0,1.0,29.0
150,420.0,0.0,0.0
151,420.0,3.0,1.0
152,420.0,0.0,2.0
153,420.0,0.0,3.0
154,420.0,4.0,4.0
155,420.0,3.0,5.0
156,420.0,4.0,6.0
157,420.0,0.0,7.0
158,420.0,2.0,8.0
159,420.0,3.0,9.0
160,420.0,3.0,10.0
161,420.0,1.0,11.0
162,420.0,4.0,12.0
163,420.0,3.0,13.0
164,420.0,1.0,14.0
165,420.0,2.0,15.0
166,420.0,4.0,16.0
167,420.0,0.0,17.0
168,420.0,0.0,18.0
169,420.0,3.0,19.0
170,420.0,1.0,20.0
171,420.0,4.0,21.0
172,420.0,3.0,22.0
173,420.0,1.0,23.0
174,420.0,3.0,24.0
175,420.0,1.0,25.0
176,420.0,0.0,26.0
177,420.0,0.0,27.0
178,420.0,0.0,28.0
179,420.0,0.0,29.0
180,480.0,0.0,0.0
181,480.0,4.0,1.0
182,480.0,3.0,2.0
183,480.0,12.0,3.0
184,480.0,0.0,4.0
185,480.0,0.0,5.0
186,480.0,2.0,6.0
187,480.0,1.0,7.0
188,480.0,1.0,8.0
189,480.0,22.0,9.0
190,480.0,0.0,10.0
191,480.0,1.0,11.0
192,480.0,1.0,12.0
193,480.0,9.0,13.0
194,480.0,7.0,14.0
195,480.0,3.0,15.0
196,480.0,3.0,16.0
197,480.0,7.0,17.0
198,480.0,8.0,18.0
199,480.0,4.0,19.0
200,480.0,0.0,20.0
201,480.0,2.0,21.0
202,480.0,0.0,22.0
203,480.0,1.0,23.0
204,480.0,1.0,24.0
205,480.0,0.0,25.0
206,480.0,5.0,26.0
207,480.0,0.0,27.0
208,480.0,6.0,28.0
209,480.0,6.0,29.0
210,540.0,2.0,0.0
211,540.0,9.0,1.0
212,540.0,3.0,2.0
213,540.0,9.0,3.0
214,540.0,1.0,4.0
215,540.0,4.0,5.0
216,540.0,5.0,6.0
217,540.0,3.0,7.0
218,540.0,12.0,8.0
219,540.0,4.0,9.0
220,540.0,4.0,10.0
221,540.0,0.0,11.0
222,540.0,7.0,12.0
223,540.0,1.0,13.0
224,540.0,3.0,14.0
225,540.0,7.0,15.0
226,540.0,8.0,16.0
227,540.0,5.0,17.0
228,540.0,8.0,18.0
229,540.0,3.0,19.0
230,540.0,11.0,20.0
231,540.0,27.0,21.0
232,540.0,5.0,22.0
233,540.0,5.0,23.0
234,540.0,8.0,24.0
235,540.0,0.0,25.0
236,540.0,3.0,26.0
237,540.0,6.0,27.0
238,540.0,15.0,28.0
239,540.0,0.0,29.0
240,600.0,1.0,0.0
241,600.0,7.0,1.0
242,600.0,3.0,2.0
243,600.0,0.0,3.0
244,600.0,1.0,4.0
245,600.0,8.0,5.0
246,600.0,22.0,6.0
247,600.0,3.0,7.0
248,600.0,14.0,8.0
249,600.0,11.0,9.0
250,600.0,18.0,10.0
251,600.0,0.0,11.0
252,600.0,1.0,12.0
253,600.0,4.0,13.0
254,600.0,11.0,14.0
255,600.0,2.0,15.0
256,600.0,2.0,16.0
257,600.0,1.0,17.0
258,600.0,3.0,18.0
259,600.0,0.0,19.0
260,600.0,22.0,20.0
261,600.0,10.0,21.0
262,600.0,4.0,22.0
263,600.0,13.0,23.0
264,600.0,12.0,24.0
