,expr_var,failed,nth
0,60.0,0.0,0.0
1,60.0,0.0,1.0
2,60.0,0.0,2.0
3,60.0,0.0,3.0
4,60.0,0.0,4.0
5,60.0,0.0,5.0
6,60.0,0.0,6.0
7,60.0,0.0,7.0
8,60.0,0.0,8.0
9,60.0,0.0,9.0
10,60.0,0.0,10.0
11,60.0,0.0,11.0
12,60.0,0.0,12.0
13,60.0,0.0,13.0
14,60.0,0.0,14.0
15,60.0,0.0,15.0
16,60.0,0.0,16.0
17,60.0,0.0,17.0
18,60.0,0.0,18.0
19,60.0,0.0,19.0
20,120.0,0.0,0.0
21,120.0,0.0,1.0
22,120.0,1.0,2.0
23,120.0,2.0,3.0
24,120.0,0.0,4.0
25,120.0,0.0,5.0
26,120.0,0.0,6.0
27,120.0,0.0,7.0
28,120.0,1.0,8.0
29,120.0,0.0,9.0
30,120.0,0.0,10.0
31,120.0,0.0,11.0
32,120.0,0.0,12.0
33,120.0,0.0,13.0
34,120.0,0.0,14.0
35,120.0,0.0,15.0
36,120.0,0.0,16.0
37,120.0,0.0,17.0
38,120.0,0.0,18.0
39,120.0,0.0,19.0
40,180.0,2.0,0.0
41,180.0,0.0,1.0
42,180.0,0.0,2.0
43,180.0,0.0,3.0
44,180.0,0.0,4.0
45,180.0,0.0,5.0
46,180.0,1.0,6.0
47,180.0,0.0,7.0
48,180.0,0.0,8.0
49,180.0,0.0,9.0
50,180.0,1.0,10.0
51,180.0,1.0,11.0
52,180.0,1.0,12.0
53,180.0,0.0,13.0
54,180.0,1.0,14.0
55,180.0,1.0,15.0
56,180.0,0.0,16.0
57,180.0,0.0,17.0
58,180.0,0.0,18.0
59,180.0,0.0,19.0
60,240.0,0.0,0.0
61,240.0,0.0,1.0
62,240.0,1.0,2.0
63,240.0,0.0,3.0
64,240.0,3.0,4.0
65,240.0,0.0,5.0
66,240.0,0.0,6.0
67,240.0,1.0,7.0
68,240.0,1.0,8.0
69,240.0,2.0,9.0
70,240.0,0.0,10.0
71,240.0,0.0,11.0
72,240.0,0.0,12.0
73,240.0,2.0,13.0
74,240.0,4.0,14.0
75,240.0,0.0,15.0
76,240.0,2.0,16.0
77,240.0,1.0,17.0
78,240.0,0.0,18.0
79,240.0,0.0,19.0
80,300.0,4.0,0.0
81,300.0,3.0,1.0
82,300.0,5.0,2.0
83,300.0,0.0,3.0
84,300.0,7.0,4.0
85,300.0,2.0,5.0
86,300.0,0.0,6.0
87,300.0,1.0,7.0
88,300.0,0.0,8.0
89,300.0,2.0,9.0
90,300.0,7.0,10.0
91,300.0,2.0,11.0
92,300.0,9.0,12.0
93,300.0,3.0,13.0
94,300.0,2.0,14.0
95,300.0,0.0,15.0
96,300.0,0.0,16.0
97,300.0,1.0,17.0
98,300.0,4.0,18.0
99,300.0,0.0,19.0
100,360.0,2.0,0.0
101,360.0,0.0,1.0
102,360.0,2.0,2.0
103,360.0,2.0,3.0
104,360.0,2.0,4.0
105,360.0,2.0,5.0
106,360.0,1.0,6.0
107,360.0,0.0,7.0
108,360.0,5.0,8.0
109,360.0,6.0,9.0
110,360.0,0.0,10.0
111,360.0,0.0,11.0
112,360.0,1.0,12.0
113,360.0,12.0,13.0
114,360.0,1.0,14.0
115,360.0,3.0,15.0
116,360.0,5.0,16.0
117,360.0,0.0,17.0
118,360.0,0.0,18.0
119,360.0,7.0,19.0
120,420.0,5.0,0.0
121,420.0,2.0,1.0
122,420.0,3.0,2.0
123,420.0,3.0,3.0
124,420.0,23.0,4.0
125,420.0,2.0,5.0
126,420.0,0.0,6.0
127,420.0,0.0,7.0
128,420.0,0.0,8.0
129,420.0,12.0,9.0
130,420.0,10.0,10.0
131,420.0,4.0,11.0
132,420.0,0.0,12.0
133,420.0,1.0,13.0
134,420.0,3.0,14.0
135,420.0,2.0,15.0
136,420.0,16.0,16.0
137,420.0,0.0,17.0
138,420.0,16.0,18.0
139,420.0,2.0,19.0
