uncertainty.prob_hold,avg_active_aircrafts,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,n_delay,n_scheduler_delay,n_uncertainty_delay
0.0,10.915740740740741,0.0,32370.0,0.0038888888888888888,0.21409179994196004,350.2,350.2,0.0
0.01,10.79851851851852,0.0,32370.0,0.0016666666666666666,0.20716066612370926,348.4,342.8,5.6
0.02,10.914259259259259,0.0,32370.0,0.004074074074074075,0.13744874676694685,352.4,338.8,13.6
0.03,10.966851851851853,0.0,32370.0,0.003333333333333333,0.11940012596844521,365.0,347.2,17.8
0.04,11.057592592592593,0.0,32370.0,0.0038888888888888888,0.12226461440573366,393.6,365.0,28.6
0.05,10.924444444444443,0.0,32370.0,0.004814814814814815,0.11906471791590001,386.4,357.4,29.0
0.06,11.094999999999999,0.0,32370.0,0.0059259259259259265,0.12475696432027031,419.6,384.4,35.2
0.07,10.875740740740742,0.0,32370.0,0.0037037037037037034,0.1152674165006254,356.6,318.2,38.4
0.08,11.051296296296297,0.0,32370.0,0.006666666666666666,0.15966414357911002,432.6,381.8,50.8
0.09,10.846666666666666,0.0,32370.0,0.003518518518518518,0.2054148270533635,381.0,323.0,58.0
0.1,11.119814814814816,0.0,32370.0,0.005740740740740741,0.2129062099739619,389.0,325.6,63.4
