,expr_var,failed,nth
0,0.0,0.0,0.0
1,0.0,0.0,1.0
2,0.0,0.0,2.0
3,0.0,0.0,3.0
4,0.0,0.0,4.0
5,0.01,0.0,0.0
6,0.01,0.0,1.0
7,0.01,0.0,2.0
8,0.01,0.0,3.0
9,0.01,0.0,4.0
10,0.02,0.0,0.0
11,0.02,0.0,1.0
12,0.02,0.0,2.0
13,0.02,0.0,3.0
14,0.02,0.0,4.0
15,0.03,0.0,0.0
16,0.03,0.0,1.0
17,0.03,0.0,2.0
18,0.03,0.0,3.0
19,0.03,0.0,4.0
20,0.04,0.0,0.0
21,0.04,0.0,1.0
22,0.04,1.0,2.0
23,0.04,0.0,3.0
24,0.04,0.0,4.0
25,0.05,0.0,0.0
26,0.05,0.0,1.0
27,0.05,1.0,2.0
28,0.05,0.0,3.0
29,0.05,0.0,4.0
30,0.06,1.0,0.0
31,0.06,0.0,1.0
32,0.06,1.0,2.0
33,0.06,0.0,3.0
34,0.06,0.0,4.0
35,0.07,0.0,0.0
36,0.07,1.0,1.0
37,0.07,1.0,2.0
38,0.07,0.0,3.0
39,0.07,2.0,4.0
40,0.08,0.0,0.0
41,0.08,3.0,1.0
42,0.08,0.0,2.0
43,0.08,0.0,3.0
44,0.08,2.0,4.0
45,0.09,0.0,0.0
46,0.09,0.0,1.0
47,0.09,0.0,2.0
48,0.09,0.0,3.0
49,0.09,0.0,4.0
50,0.1,2.0,0.0
51,0.1,0.0,1.0
52,0.1,0.0,2.0
53,0.1,0.0,3.0
54,0.1,0.0,4.0
