,expr_var,failed,nth
0,0.04,13.0,0.0
1,0.04,3.0,1.0
2,0.04,6.0,2.0
3,0.04,2.0,3.0
4,0.04,17.0,4.0
5,0.04,1.0,5.0
6,0.04,6.0,6.0
7,0.04,1.0,7.0
8,0.04,2.0,8.0
9,0.04,28.0,9.0
10,0.05,2.0,0.0
11,0.05,22.0,1.0
12,0.05,19.0,2.0
13,0.05,22.0,3.0
14,0.05,3.0,4.0
15,0.05,0.0,5.0
16,0.05,11.0,6.0
17,0.05,5.0,7.0
18,0.05,10.0,8.0
19,0.05,8.0,9.0
20,0.060000000000000005,11.0,0.0
21,0.060000000000000005,5.0,1.0
22,0.060000000000000005,16.0,2.0
23,0.060000000000000005,58.0,3.0
24,0.060000000000000005,27.0,4.0
25,0.060000000000000005,16.0,5.0
26,0.060000000000000005,17.0,6.0
27,0.060000000000000005,2.0,7.0
28,0.060000000000000005,58.0,8.0
29,0.060000000000000005,20.0,9.0
30,0.07,8.0,0.0
31,0.07,14.0,1.0
32,0.07,38.0,2.0
33,0.07,66.0,3.0
34,0.07,3.0,4.0
35,0.07,35.0,5.0
36,0.07,11.0,6.0
37,0.07,1.0,7.0
38,0.07,2.0,8.0
39,0.07,5.0,9.0
40,0.08000000000000002,74.0,0.0
41,0.08000000000000002,13.0,1.0
42,0.08000000000000002,15.0,2.0
43,0.08000000000000002,83.0,3.0
44,0.08000000000000002,14.0,4.0
45,0.08000000000000002,23.0,5.0
46,0.08000000000000002,18.0,6.0
47,0.08000000000000002,18.0,7.0
48,0.08000000000000002,51.0,8.0
49,0.08000000000000002,31.0,9.0
50,0.09000000000000001,346.0,0.0
51,0.09000000000000001,42.0,1.0
52,0.09000000000000001,90.0,2.0
53,0.09000000000000001,26.0,3.0
54,0.09000000000000001,249.0,4.0
55,0.09000000000000001,288.0,5.0
56,0.09000000000000001,103.0,6.0
57,0.09000000000000001,152.0,7.0
58,0.09000000000000001,97.0,8.0
59,0.09000000000000001,37.0,9.0
