uncertainty.prob_hold,avg_active_aircrafts,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,n_delay,n_scheduler_delay,n_uncertainty_delay
0.0,10.994259259259257,0.0,32370.0,0.004074074074074075,0.12230709463054104,375.2,375.2,0.0
0.01,10.895925925925926,0.0,32370.0,0.003518518518518519,0.11944803511024737,362.4,358.6,3.8
0.02,10.807777777777776,0.0,32370.0,0.0020370370370370373,0.1154729129430649,339.6,329.6,10.0
0.03,10.81462962962963,0.0,32370.0,0.0029629629629629632,0.11402353794073153,346.4,326.6,19.8
0.04,11.012962962962963,0.0,32370.0,0.004814814814814815,0.11910768854496542,378.8,350.6,28.2
0.05,10.867037037037038,0.0,32370.0,0.0022222222222222222,0.11364357928858519,346.6,314.4,32.2
0.06,11.028148148148148,0.0,32370.0,0.0022222222222222222,0.11967021263341752,392.2,353.8,38.4
0.07,10.942407407407407,0.0,32370.0,0.00462962962962963,0.11870704373349958,384.6,343.0,41.6
0.08,10.999814814814815,0.0,32370.0,0.006481481481481482,0.11614940111232755,364.6,310.6,54.0
0.09,10.968518518518518,0.0,32370.0,0.005,0.12251788281643136,406.8,361.6,45.2
0.1,10.800185185185185,0.0,32370.0,0.003518518518518518,0.11748302983839935,407.4,345.8,61.6
