,expr_var,failed,nth
0,0.0,0.0,0.0
1,0.0,0.0,1.0
2,0.0,0.0,2.0
3,0.0,0.0,3.0
4,0.0,0.0,4.0
5,0.0,0.0,5.0
6,0.0,0.0,6.0
7,0.0,0.0,7.0
8,0.0,0.0,8.0
9,0.0,0.0,9.0
10,0.005,2.0,0.0
11,0.005,0.0,1.0
12,0.005,0.0,2.0
13,0.005,0.0,3.0
14,0.005,1.0,4.0
15,0.005,0.0,5.0
16,0.005,0.0,6.0
17,0.005,0.0,7.0
18,0.005,0.0,8.0
19,0.005,0.0,9.0
20,0.01,1.0,0.0
21,0.01,0.0,1.0
22,0.01,0.0,2.0
23,0.01,0.0,3.0
24,0.01,1.0,4.0
25,0.01,0.0,5.0
26,0.01,0.0,6.0
27,0.01,0.0,7.0
28,0.01,0.0,8.0
29,0.01,1.0,9.0
30,0.015,1.0,0.0
31,0.015,1.0,1.0
32,0.015,0.0,2.0
33,0.015,0.0,3.0
34,0.015,0.0,4.0
35,0.015,1.0,5.0
36,0.015,2.0,6.0
37,0.015,0.0,7.0
38,0.015,11.0,8.0
39,0.015,0.0,9.0
40,0.02,0.0,0.0
41,0.02,3.0,1.0
42,0.02,5.0,2.0
43,0.02,1.0,3.0
44,0.02,3.0,4.0
45,0.02,0.0,5.0
46,0.02,3.0,6.0
47,0.02,1.0,7.0
48,0.02,1.0,8.0
49,0.02,1.0,9.0
50,0.025,1.0,0.0
51,0.025,0.0,1.0
52,0.025,0.0,2.0
53,0.025,1.0,3.0
54,0.025,1.0,4.0
55,0.025,5.0,5.0
56,0.025,4.0,6.0
57,0.025,0.0,7.0
58,0.025,2.0,8.0
59,0.025,0.0,9.0
60,0.03,3.0,0.0
61,0.03,3.0,1.0
62,0.03,3.0,2.0
63,0.03,3.0,3.0
64,0.03,5.0,4.0
65,0.03,2.0,5.0
66,0.03,7.0,6.0
67,0.03,0.0,7.0
68,0.03,8.0,8.0
69,0.03,1.0,9.0
70,0.035,4.0,0.0
71,0.035,0.0,1.0
72,0.035,1.0,2.0
73,0.035,0.0,3.0
74,0.035,12.0,4.0
75,0.035,3.0,5.0
76,0.035,10.0,6.0
77,0.035,2.0,7.0
78,0.035,3.0,8.0
79,0.035,1.0,9.0
80,0.04,6.0,0.0
81,0.04,6.0,1.0
82,0.04,1.0,2.0
83,0.04,2.0,3.0
84,0.04,4.0,4.0
85,0.04,9.0,5.0
86,0.04,2.0,6.0
87,0.04,15.0,7.0
88,0.04,1.0,8.0
89,0.04,5.0,9.0
