,expr_var,failed,nth
0,0.0,0.0,0.0
1,0.0,0.0,1.0
2,0.0,0.0,2.0
3,0.0,0.0,3.0
4,0.0,0.0,4.0
5,0.0,0.0,5.0
6,0.0,0.0,6.0
7,0.0,0.0,7.0
8,0.0,0.0,8.0
9,0.0,0.0,9.0
10,0.01,0.0,0.0
11,0.01,0.0,1.0
12,0.01,0.0,2.0
13,0.01,0.0,3.0
14,0.01,0.0,4.0
15,0.01,0.0,5.0
16,0.01,0.0,6.0
17,0.01,0.0,7.0
18,0.01,0.0,8.0
19,0.01,0.0,9.0
20,0.02,0.0,0.0
21,0.02,0.0,1.0
22,0.02,0.0,2.0
23,0.02,0.0,3.0
24,0.02,0.0,4.0
25,0.02,0.0,5.0
26,0.02,0.0,6.0
27,0.02,0.0,7.0
28,0.02,0.0,8.0
29,0.02,0.0,9.0
30,0.03,0.0,0.0
31,0.03,0.0,1.0
32,0.03,1.0,2.0
33,0.03,1.0,3.0
34,0.03,0.0,4.0
35,0.03,0.0,5.0
36,0.03,1.0,6.0
37,0.03,0.0,7.0
38,0.03,1.0,8.0
39,0.03,0.0,9.0
40,0.04,0.0,0.0
41,0.04,0.0,1.0
42,0.04,0.0,2.0
43,0.04,0.0,3.0
44,0.04,3.0,4.0
45,0.04,0.0,5.0
46,0.04,1.0,6.0
47,0.04,1.0,7.0
48,0.04,1.0,8.0
49,0.04,0.0,9.0
50,0.05,1.0,0.0
51,0.05,0.0,1.0
52,0.05,0.0,2.0
53,0.05,0.0,3.0
54,0.05,1.0,4.0
55,0.05,2.0,5.0
56,0.05,0.0,6.0
57,0.05,1.0,7.0
58,0.05,0.0,8.0
59,0.05,1.0,9.0
60,0.06,2.0,0.0
61,0.06,2.0,1.0
62,0.06,1.0,2.0
63,0.06,4.0,3.0
64,0.06,1.0,4.0
65,0.06,0.0,5.0
66,0.06,1.0,6.0
67,0.06,0.0,7.0
68,0.06,0.0,8.0
69,0.06,1.0,9.0
70,0.07,2.0,0.0
71,0.07,3.0,1.0
72,0.07,0.0,2.0
73,0.07,6.0,3.0
74,0.07,2.0,4.0
75,0.07,1.0,5.0
76,0.07,0.0,6.0
77,0.07,3.0,7.0
78,0.07,0.0,8.0
79,0.07,0.0,9.0
80,0.08,1.0,0.0
81,0.08,0.0,1.0
82,0.08,0.0,2.0
83,0.08,0.0,3.0
84,0.08,0.0,4.0
85,0.08,4.0,5.0
86,0.08,5.0,6.0
87,0.08,1.0,7.0
88,0.08,1.0,8.0
89,0.08,6.0,9.0
90,0.09,2.0,0.0
91,0.09,2.0,1.0
92,0.09,0.0,2.0
93,0.09,2.0,3.0
94,0.09,0.0,4.0
95,0.09,1.0,5.0
96,0.09,2.0,6.0
97,0.09,0.0,7.0
98,0.09,0.0,8.0
99,0.09,2.0,9.0
100,0.1,2.0,0.0
101,0.1,5.0,1.0
102,0.1,10.0,2.0
103,0.1,6.0,3.0
104,0.1,0.0,4.0
105,0.1,1.0,5.0
106,0.1,0.0,6.0
107,0.1,1.0,7.0
108,0.1,0.0,8.0
109,0.1,0.0,9.0
