,expr_var,failed,nth
0,0.0,0.0,0.0
1,0.0,0.0,1.0
2,0.0,0.0,2.0
3,0.0,0.0,3.0
4,0.0,0.0,4.0
5,0.0,0.0,5.0
6,0.0,0.0,6.0
7,0.0,0.0,7.0
8,0.0,0.0,8.0
9,0.0,0.0,9.0
10,0.0,0.0,10.0
11,0.0,0.0,11.0
12,0.0,0.0,12.0
13,0.0,0.0,13.0
14,0.0,0.0,14.0
15,0.0,0.0,15.0
16,0.0,0.0,16.0
17,0.0,0.0,17.0
18,0.0,0.0,18.0
19,0.0,0.0,19.0
20,0.0,0.0,20.0
21,0.0,0.0,21.0
22,0.0,0.0,22.0
23,0.0,0.0,23.0
24,0.0,0.0,24.0
25,0.0,0.0,25.0
26,0.0,0.0,26.0
27,0.0,0.0,27.0
28,0.0,0.0,28.0
29,0.0,0.0,29.0
30,0.003,0.0,0.0
31,0.003,0.0,1.0
32,0.003,0.0,2.0
33,0.003,1.0,3.0
34,0.003,1.0,4.0
35,0.003,1.0,5.0
36,0.003,0.0,6.0
37,0.003,0.0,7.0
38,0.003,0.0,8.0
39,0.003,1.0,9.0
40,0.003,0.0,10.0
41,0.003,0.0,11.0
42,0.003,0.0,12.0
43,0.003,0.0,13.0
44,0.003,0.0,14.0
45,0.003,0.0,15.0
46,0.003,0.0,16.0
47,0.003,0.0,17.0
48,0.003,0.0,18.0
49,0.003,0.0,19.0
50,0.003,0.0,20.0
51,0.003,0.0,21.0
52,0.003,0.0,22.0
53,0.003,0.0,23.0
54,0.003,2.0,24.0
55,0.003,0.0,25.0
56,0.003,0.0,26.0
57,0.003,0.0,27.0
58,0.003,0.0,28.0
59,0.003,0.0,29.0
60,0.006,0.0,0.0
61,0.006,1.0,1.0
62,0.006,0.0,2.0
63,0.006,0.0,3.0
64,0.006,0.0,4.0
65,0.006,0.0,5.0
66,0.006,0.0,6.0
67,0.006,0.0,7.0
68,0.006,0.0,8.0
69,0.006,0.0,9.0
70,0.006,0.0,10.0
71,0.006,0.0,11.0
72,0.006,1.0,12.0
73,0.006,0.0,13.0
74,0.006,0.0,14.0
75,0.006,1.0,15.0
76,0.006,1.0,16.0
77,0.006,2.0,17.0
78,0.006,0.0,18.0
79,0.006,0.0,19.0
80,0.006,0.0,20.0
81,0.006,1.0,21.0
82,0.006,0.0,22.0
83,0.006,0.0,23.0
84,0.006,0.0,24.0
85,0.006,1.0,25.0
86,0.006,0.0,26.0
87,0.006,0.0,27.0
88,0.006,0.0,28.0
89,0.006,0.0,29.0
90,0.009000000000000001,2.0,0.0
91,0.009000000000000001,2.0,1.0
92,0.009000000000000001,1.0,2.0
93,0.009000000000000001,0.0,3.0
94,0.009000000000000001,0.0,4.0
95,0.009000000000000001,1.0,5.0
96,0.009000000000000001,2.0,6.0
97,0.009000000000000001,0.0,7.0
98,0.009000000000000001,3.0,8.0
99,0.009000000000000001,6.0,9.0
100,0.009000000000000001,0.0,10.0
101,0.009000000000000001,1.0,11.0
102,0.009000000000000001,1.0,12.0
103,0.009000000000000001,0.0,13.0
104,0.009000000000000001,1.0,14.0
105,0.009000000000000001,1.0,15.0
106,0.009000000000000001,0.0,16.0
107,0.009000000000000001,0.0,17.0
108,0.009000000000000001,0.0,18.0
109,0.009000000000000001,1.0,19.0
110,0.009000000000000001,0.0,20.0
111,0.009000000000000001,2.0,21.0
112,0.009000000000000001,0.0,22.0
113,0.009000000000000001,0.0,23.0
114,0.009000000000000001,1.0,24.0
115,0.009000000000000001,1.0,25.0
116,0.009000000000000001,0.0,26.0
117,0.009000000000000001,0.0,27.0
118,0.009000000000000001,0.0,28.0
119,0.009000000000000001,0.0,29.0
120,0.012,1.0,0.0
121,0.012,0.0,1.0
122,0.012,0.0,2.0
123,0.012,0.0,3.0
124,0.012,1.0,4.0
125,0.012,0.0,5.0
126,0.012,3.0,6.0
127,0.012,1.0,7.0
128,0.012,2.0,8.0
129,0.012,0.0,9.0
130,0.012,4.0,10.0
131,0.012,0.0,11.0
132,0.012,0.0,12.0
133,0.012,1.0,13.0
134,0.012,0.0,14.0
135,0.012,1.0,15.0
136,0.012,0.0,16.0
137,0.012,1.0,17.0
138,0.012,3.0,18.0
139,0.012,0.0,19.0
140,0.012,0.0,20.0
141,0.012,0.0,21.0
142,0.012,1.0,22.0
143,0.012,0.0,23.0
144,0.012,3.0,24.0
145,0.012,1.0,25.0
146,0.012,0.0,26.0
147,0.012,0.0,27.0
148,0.012,0.0,28.0
149,0.012,1.0,29.0
150,0.015,0.0,0.0
151,0.015,0.0,1.0
152,0.015,0.0,2.0
153,0.015,0.0,3.0
154,0.015,1.0,4.0
155,0.015,0.0,5.0
156,0.015,2.0,6.0
157,0.015,2.0,7.0
158,0.015,0.0,8.0
159,0.015,0.0,9.0
160,0.015,0.0,10.0
161,0.015,0.0,11.0
162,0.015,2.0,12.0
163,0.015,0.0,13.0
164,0.015,0.0,14.0
165,0.015,0.0,15.0
166,0.015,0.0,16.0
167,0.015,1.0,17.0
168,0.015,0.0,18.0
169,0.015,2.0,19.0
170,0.015,0.0,20.0
171,0.015,0.0,21.0
172,0.015,0.0,22.0
173,0.015,1.0,23.0
174,0.015,0.0,24.0
175,0.015,1.0,25.0
176,0.015,2.0,26.0
177,0.015,1.0,27.0
178,0.015,0.0,28.0
179,0.015,0.0,29.0
