,expr_var,failed,nth
0,0.0,0.0,0.0
1,0.0,0.0,1.0
2,0.0,0.0,2.0
3,0.0,0.0,3.0
4,0.0,0.0,4.0
5,0.005,0.0,0.0
6,0.005,0.0,1.0
7,0.005,0.0,2.0
8,0.005,0.0,3.0
9,0.005,0.0,4.0
10,0.01,0.0,0.0
11,0.01,0.0,1.0
12,0.01,0.0,2.0
13,0.01,0.0,3.0
14,0.01,0.0,4.0
15,0.015,0.0,0.0
16,0.015,0.0,1.0
17,0.015,0.0,2.0
18,0.015,0.0,3.0
19,0.015,0.0,4.0
20,0.02,0.0,0.0
21,0.02,0.0,1.0
22,0.02,0.0,2.0
23,0.02,0.0,3.0
24,0.02,0.0,4.0
25,0.025,0.0,0.0
26,0.025,0.0,1.0
27,0.025,0.0,2.0
28,0.025,0.0,3.0
29,0.025,0.0,4.0
