uncertainty.prob_hold,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
0.0,0.0,33259.5,0.0022916666666666667,0.0530129685707411,0.03020833333333333,0.03020833333333333,0.0
0.01,0.0,33285.0,0.0017013888888888888,0.05282852081867313,0.030347222222222227,0.029097222222222226,0.00125
0.02,0.0,33307.5,0.001701388888888889,0.052865194477410705,0.030243055555555554,0.027916666666666673,0.0023263888888888883
0.03,0.0,33339.0,0.002534722222222222,0.05344104517801226,0.03350694444444444,0.02986111111111111,0.003645833333333333
0.04,0.0,33384.0,0.0014583333333333332,0.053069062983425216,0.03447916666666666,0.02923611111111111,0.005243055555555555
0.05,0.0,33382.5,0.002152777777777778,0.05342462853136833,0.035416666666666666,0.029166666666666674,0.0062499999999999995
0.06,0.0,33321.0,0.0027083333333333334,0.05300393107873815,0.037291666666666654,0.029305555555555557,0.007986111111111112
0.07,0.0,33372.0,0.0019444444444444444,0.052550951684085766,0.03722222222222222,0.02815972222222222,0.009062500000000001
0.08,0.0,33346.5,0.0016666666666666663,0.053035720045520075,0.04010416666666666,0.03,0.010104166666666668
0.09,0.0,33340.5,0.0022916666666666667,0.054606708377848756,0.040625,0.029722222222222223,0.010902777777777779
0.1,0.0,33351.0,0.0027083333333333326,0.0951071244760476,0.04413194444444444,0.030798611111111106,0.013333333333333332
0.11,0.0,33280.5,0.0023611111111111116,0.09521504796647096,0.04506944444444443,0.030277777777777782,0.01479166666666667
0.12,0.0,33282.0,0.002881944444444445,0.0945895170434936,0.046527777777777765,0.0296875,0.01684027777777778
0.13,0.0,33315.0,0.0021180555555555553,0.08937095901760218,0.0470486111111111,0.028506944444444442,0.018541666666666665
0.14,0.0,33349.5,0.0028819444444444444,0.09508761599203337,0.04916666666666667,0.028958333333333336,0.020208333333333328
0.15,0.0,33424.5,0.0030555555555555557,0.09319722406711421,0.05034722222222221,0.029305555555555557,0.02104166666666666
