simulation.reschedule_cycle,conflicts,makespan,delay_added,avg_queue_size,avg_reschedule_exec_time
60.0,4.0,75780.0,30.0,0.0,0.09538161553127665
240.0,5.0,75780.0,120.0,0.0,0.1262337241374271
420.0,55.0,75810.0,1380.0,0.0,0.1510454805770723
600.0,90.0,75810.0,2880.0,0.0,0.19067466930604318
780.0,103.0,75840.0,4380.0,0.0043123543123543134,0.25915913844327315
960.0,125.0,81840.0,5100.0,2.532420411985033,0.3268846734003587
1140.0,110.0,85470.0,4440.0,9.398830409356847,0.30567238459715973
1320.0,107.0,85770.0,3840.0,14.513752913752624,0.2877037227153778
1500.0,72.0,85470.0,3360.0,18.37871345029214,0.27034238832337515
1680.0,81.0,85650.0,3000.0,21.447595704948373,0.2334292459487915
