time,n_delay_added
00:00:00,0
00:15:00,0
00:30:00,0
00:45:00,1
01:00:00,1
01:15:00,1
01:30:00,3
01:45:00,6
02:00:00,16
02:15:00,12
02:30:00,2
02:45:00,5
03:00:00,11
03:15:00,0
03:30:00,3
03:45:00,5
04:00:00,3
04:15:00,5
04:30:00,26
04:45:00,6
05:00:00,5
05:15:00,4
05:30:00,3
05:45:00,4
06:00:00,1
06:15:00,2
06:30:00,10
06:45:00,5
07:00:00,1
07:15:00,3
07:30:00,7
07:45:00,5
08:00:00,8
08:15:00,5
08:30:00,5
08:45:00,16
09:00:00,17
09:15:00,8
09:30:00,2
09:45:00,7
10:00:00,3
10:15:00,2
10:30:00,7
10:45:00,2
11:00:00,6
11:15:00,10
11:30:00,2
11:45:00,1
12:00:00,4
12:15:00,1
12:30:00,5
12:45:00,4
13:00:00,7
13:15:00,4
13:30:00,6
13:45:00,6
14:00:00,13
14:15:00,2
14:30:00,5
14:45:00,9
15:00:00,11
15:15:00,7
15:30:00,16
15:45:00,7
16:00:00,8
16:15:00,10
16:30:00,3
16:45:00,5
17:00:00,4
17:15:00,3
17:30:00,10
17:45:00,13
18:00:00,13
18:15:00,8
18:30:00,3
18:45:00,7
19:00:00,7
19:15:00,0
19:30:00,8
19:45:00,29
20:00:00,2
20:15:00,6
20:30:00,0
20:45:00,8
21:00:00,2
21:15:00,10
21:30:00,13
21:45:00,0
22:00:00,0
22:15:00,0
22:30:00,0
22:45:00,0
23:00:00,0
23:15:00,0
23:30:00,0
23:45:00,0
23:45:30,0
23:46:00,0
23:46:30,0
23:47:00,0
23:47:30,0
23:48:00,0
23:48:30,0
23:49:00,0
