,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,3,1110,3
1,1,8,1740,9
2,1,13,2370,14
3,2,11,3030,13
4,1,13,2790,14
5,0,8,2340,8
6,0,4,1650,4
7,0,10,1470,10
8,0,10,2460,10
9,1,9,2850,10
10,2,10,3240,12
11,2,12,2400,14
12,0,4,2280,4
13,0,4,2130,4
14,0,6,1170,6
15,0,14,3300,14
16,0,6,1230,6
17,0,5,3540,5
18,0,7,2100,7
19,1,8,1890,9
20,2,9,1950,11
21,0,12,3660,12
22,2,4,1710,6
23,0,8,2010,8
24,2,8,2790,10
25,2,12,4230,14
26,0,6,4620,6
27,6,13,2640,19
28,0,5,1500,5
29,2,7,2820,9
30,0,10,3150,10
31,3,10,1530,13
32,5,9,2820,14
33,4,12,2250,16
34,0,2,2670,2
35,0,4,2010,4
36,0,14,2610,14
37,0,9,2190,9
38,1,15,4200,16
39,0,7,2310,7
40,1,8,2760,9
41,1,6,3000,7
42,1,6,3360,7
43,0,13,2670,13
44,2,9,1800,11
45,0,12,3570,12
46,2,13,1620,15
47,2,6,3000,8
48,0,13,2790,13
49,0,2,3840,2
50,0,4,1560,4
51,1,3,4470,4
52,0,11,2910,11
53,0,6,3960,6
54,0,15,2730,15
55,0,4,2820,4
56,1,4,1500,5
57,0,6,3660,6
58,1,12,2580,13
59,1,11,4620,12
60,1,9,3060,10
61,0,16,1830,16
62,0,3,2190,3
63,0,5,1230,5
64,1,8,2160,9
65,1,12,1680,13
66,0,11,3030,11
67,0,11,3990,11
68,1,1,2280,2
69,0,9,2550,9
70,0,9,3660,9
71,1,12,2490,13
72,0,9,1650,9
73,0,10,2100,10
74,0,8,2250,8
75,0,12,2010,12
76,2,10,2970,12
77,1,12,3810,13
78,0,8,2940,8
79,0,7,2160,7
80,1,5,1860,6
81,0,9,3360,9
82,4,11,3000,15
83,0,10,2940,10
84,0,10,1380,10
85,1,7,3240,8
86,0,11,4740,11
87,4,7,3000,11
88,0,15,2520,15
89,0,15,2370,15
90,0,6,1770,6
91,0,8,4350,8
92,1,7,2520,8
93,2,10,2970,12
94,0,11,1920,11
95,0,6,1890,6
96,2,7,1740,9
97,0,11,5760,11
98,0,8,3090,8
99,0,11,3030,11
100,2,9,2730,11
101,0,5,5460,5
102,2,6,2130,8
103,2,5,1680,7
104,3,7,2580,10
105,2,11,3480,13
106,1,14,3150,15
107,1,10,2370,11
108,0,6,2430,6
109,0,10,1380,10
110,2,12,2490,14
111,0,8,3030,8
112,0,11,3510,11
113,0,7,3600,7
114,2,11,2520,13
115,1,5,1380,6
116,1,13,3060,14
117,6,11,1860,17
118,0,4,2940,4
119,1,5,2130,6
120,0,7,1170,7
121,1,5,4890,6
122,3,10,3600,13
123,0,8,1890,8
124,0,12,3000,12
125,2,6,2130,8
126,2,6,2670,8
127,0,11,3720,11
128,4,7,2520,11
129,0,5,1620,5
130,2,8,2100,10
131,0,15,2430,15
132,0,0,2250,0
133,0,9,1470,9
134,1,8,2820,9
135,0,15,2610,15
136,0,5,1200,5
137,1,6,1950,7
138,0,14,2460,14
139,1,9,2220,10
140,1,7,3720,8
141,0,11,3060,11
142,1,9,2040,10
143,0,6,2310,6
144,4,8,1830,12
145,2,11,1560,13
146,0,11,3090,11
147,0,15,2550,15
148,0,6,2790,6
149,0,14,1440,14
150,2,12,2490,14
151,0,9,2970,9
152,0,12,2400,12
153,0,7,1320,7
154,0,6,1650,6
155,1,9,2520,10
156,0,10,3780,10
157,2,8,3000,10
158,0,6,1170,6
159,0,10,1770,10
160,1,15,2400,16
161,0,10,2820,10
162,2,8,3960,10
163,0,12,4260,12
164,0,4,2400,4
165,0,10,2220,10
166,0,7,4770,7
167,0,10,1620,10
168,2,10,3600,12
169,0,2,1380,2
