,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,1,1050,1
1,1,1,1830,2
2,0,4,1980,4
3,1,4,1800,5
4,0,7,2010,7
5,0,2,1350,2
6,0,8,2190,8
7,0,0,2550,0
8,0,1,1290,1
9,0,1,2370,1
10,0,2,1830,2
11,0,1,1410,1
12,0,4,2820,4
13,1,7,2010,8
14,0,3,1290,3
15,0,7,1890,7
16,0,2,1620,2
17,0,6,1530,6
18,0,4,2160,4
19,0,1,1260,1
20,0,1,1740,1
21,0,2,1230,2
22,0,0,2040,0
23,0,1,1590,1
24,0,1,1200,1
25,0,1,1950,1
26,0,2,1890,2
27,0,0,1410,0
28,0,4,1410,4
29,0,0,2280,0
30,0,2,1560,2
31,1,1,1950,2
32,0,4,1260,4
33,0,4,2220,4
34,0,4,1590,4
35,0,3,2580,3
36,0,4,2130,4
37,0,9,1590,9
38,0,1,1650,1
39,0,2,1710,2
40,1,3,1560,4
41,0,1,1200,1
42,0,0,1980,0
43,0,1,1260,1
44,0,3,1920,3
45,0,3,1680,3
46,2,1,1140,3
47,1,2,1470,3
48,0,2,1440,2
49,1,1,1110,2
50,0,5,1530,5
51,0,7,2070,7
52,0,3,2190,3
53,0,2,1500,2
54,0,1,2040,1
55,0,4,1650,4
56,0,5,1500,5
57,0,4,1260,4
58,0,3,2100,3
59,0,4,1950,4
60,2,4,1770,6
61,0,1,1830,1
62,0,6,1590,6
63,0,4,1890,4
64,0,7,1590,7
65,0,0,1230,0
66,1,2,1890,3
67,0,1,1770,1
68,0,2,1980,2
69,0,6,1770,6
70,0,5,1650,5
71,0,0,1080,0
72,0,3,1590,3
73,0,3,1890,3
74,0,4,1410,4
75,0,5,2100,5
76,0,2,1860,2
77,0,0,1860,0
78,0,3,2100,3
79,0,3,1650,3
80,0,1,2100,1
81,0,2,1680,2
82,0,3,1680,3
83,0,0,930,0
84,0,2,2370,2
85,0,5,1890,5
86,0,2,1710,2
87,0,1,2370,1
88,0,9,1710,9
89,0,6,1560,6
90,0,2,1530,2
91,0,3,2070,3
92,0,2,1470,2
93,0,8,1530,8
94,0,0,2340,0
95,0,1,1260,1
96,0,5,2040,5
97,0,2,1230,2
98,0,1,1950,1
99,0,6,2010,6
100,0,0,1380,0
101,0,4,1980,4
102,0,2,1830,2
103,0,7,2760,7
104,0,3,1770,3
105,0,0,2130,0
106,0,1,1140,1
107,0,4,1770,4
108,0,7,2100,7
109,0,2,1200,2
110,1,1,1650,2
111,0,3,1500,3
112,0,6,2250,6
113,0,3,1650,3
114,1,3,2580,4
115,0,7,1740,7
116,0,2,1860,2
117,2,4,1680,6
118,0,3,1410,3
119,0,3,2190,3
120,0,5,1890,5
121,1,3,1410,4
122,0,0,1470,0
123,0,6,1590,6
124,0,1,1830,1
125,0,5,1500,5
126,0,0,2100,0
127,0,0,1740,0
128,0,4,1260,4
129,0,1,1620,1
130,0,3,1440,3
131,1,4,2070,5
132,1,6,1950,7
133,0,5,2040,5
134,0,1,1890,1
135,2,2,1290,4
136,0,7,1740,7
137,0,8,2010,8
138,0,0,2460,0
139,0,1,1590,1
140,0,2,1500,2
141,0,5,1500,5
142,0,2,2340,2
143,0,2,1860,2
144,2,6,1620,8
145,0,2,1620,2
146,0,4,2190,4
147,1,3,1620,4
148,0,2,1680,2
149,0,2,1290,2
150,0,0,1500,0
151,0,3,1440,3
152,0,3,1860,3
153,0,2,1320,2
154,0,2,1410,2
155,0,7,2040,7
156,0,2,1440,2
157,1,2,1260,3
158,1,2,2040,3
159,0,1,1350,1
160,0,2,2790,2
161,0,1,1710,1
162,0,6,2820,6
163,0,0,1860,0
164,0,1,1830,1
165,0,1,1290,1
166,0,4,2940,4
167,2,4,1980,6
168,0,1,1740,1
169,0,1,1140,1
170,0,6,1890,6
171,0,1,1350,1
172,0,0,2100,0
173,0,3,1740,3
174,0,3,1620,3
175,0,4,1380,4
176,0,2,1710,2
177,0,1,2100,1
178,1,1,1620,2
179,0,3,1380,3
180,0,1,1650,1
181,0,5,2700,5
182,1,4,1710,5
183,2,8,1650,10
184,0,0,1710,0
185,2,0,1530,2
186,0,1,1410,1
187,0,2,1170,2
188,0,5,2190,5
189,1,5,1890,6
190,0,2,1680,2
191,0,5,1740,5
192,0,0,1350,0
193,0,1,1800,1
194,0,1,1710,1
195,0,1,1650,1
196,0,3,1740,3
197,0,1,1170,1
198,0,1,1410,1
199,0,7,2280,7
200,0,4,2070,4
201,0,1,1740,1
202,0,3,1620,3
203,0,0,1440,0
204,1,2,1860,3
205,0,1,1230,1
206,0,2,1680,2
207,0,0,1590,0
208,1,1,1380,2
209,0,0,1050,0
210,0,0,1530,0
211,1,4,2010,5
212,0,2,1590,2
213,2,0,1230,2
214,0,2,1770,2
215,0,1,1500,1
216,0,6,1500,6
217,0,0,1470,0
218,0,3,1530,3
219,2,1,1350,3
220,0,8,1560,8
221,0,1,1620,1
222,0,7,1710,7
223,0,5,1830,5
224,0,6,1830,6
225,0,2,1710,2
226,0,5,2100,5
227,0,0,1050,0
228,0,3,2190,3
229,0,9,1860,9
230,0,7,2250,7
231,1,0,1770,1
232,0,3,1200,3
233,0,2,1770,2
234,0,0,1470,0
235,0,3,1920,3
236,0,2,1650,2
237,0,2,1410,2
238,0,1,1800,1
239,0,4,1470,4
240,0,5,1800,5
241,0,0,1590,0
242,0,5,1590,5
243,0,1,1800,1
244,0,2,1590,2
245,0,3,1590,3
246,0,0,1080,0
247,0,4,1890,4
248,0,2,1680,2
249,0,3,1260,3
250,0,3,2130,3
251,0,8,1920,8
252,0,1,1650,1
253,0,0,1830,0
254,0,1,1740,1
255,0,2,1590,2
256,0,3,1500,3
257,0,4,1650,4
258,0,5,1350,5
