,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,0,1500,0
1,0,0,1860,0
2,0,0,1230,0
3,0,1,1620,1
4,0,2,1020,2
5,0,1,1590,1
6,0,3,2100,3
7,0,0,1740,0
8,0,0,1410,0
9,1,0,1650,1
10,0,1,1350,1
11,0,2,1410,2
12,0,1,2070,1
13,0,0,1380,0
14,0,0,1920,0
15,0,0,1740,0
16,0,1,1650,1
17,0,0,2280,0
18,0,1,1650,1
19,0,0,1800,0
20,0,3,1830,3
21,0,2,1560,2
22,0,1,1710,1
23,0,0,1500,0
24,0,0,1830,0
25,1,0,1530,1
26,0,1,1980,1
27,0,0,1020,0
28,0,1,1920,1
29,0,2,2250,2
30,0,0,1380,0
31,1,2,1800,3
32,0,0,1920,0
33,0,0,1560,0
34,0,1,2010,1
35,0,0,1260,0
36,1,1,1650,2
37,0,2,2310,2
38,0,1,1680,1
39,0,0,1140,0
40,0,0,1710,0
41,0,0,1380,0
42,1,0,1800,1
43,2,0,1260,2
44,0,1,1620,1
45,0,0,1110,0
46,1,0,2010,1
47,0,0,1590,0
48,0,2,1260,2
49,0,0,1050,0
50,0,0,1710,0
51,0,2,1110,2
52,0,0,1590,0
53,0,1,1500,1
54,0,0,1200,0
55,0,4,2130,4
56,0,2,1440,2
57,0,0,1230,0
58,0,0,1170,0
59,0,0,1410,0
60,0,1,1290,1
61,0,0,1950,0
62,0,0,1050,0
63,0,0,1830,0
64,0,1,1830,1
65,0,2,1680,2
66,0,0,1560,0
67,0,0,1830,0
68,0,2,1800,2
69,0,1,1560,1
70,0,0,1500,0
71,1,0,1170,1
72,0,0,1080,0
73,0,2,2190,2
74,0,0,1590,0
75,0,0,1140,0
76,0,0,1470,0
77,0,3,1350,3
78,0,0,1830,0
79,1,0,1020,1
80,0,1,1230,1
81,0,0,1620,0
82,0,0,1380,0
83,0,0,1440,0
84,0,2,1080,2
85,0,0,2070,0
86,0,0,1500,0
87,0,1,2190,1
88,0,1,1740,1
89,0,1,1530,1
90,0,1,1290,1
91,0,0,1320,0
92,1,1,1170,2
93,0,0,1740,0
94,0,1,1740,1
95,0,1,1710,1
96,0,2,1740,2
97,0,0,1620,0
98,0,0,1320,0
99,0,0,1080,0
100,0,2,2400,2
101,0,2,1560,2
102,0,1,1080,1
103,0,0,1560,0
104,0,1,1320,1
105,0,0,1140,0
106,0,0,1800,0
107,0,0,1680,0
108,0,0,1380,0
109,0,0,2280,0
110,0,0,2070,0
111,0,2,2040,2
112,0,0,1710,0
113,1,1,1530,2
114,0,0,1230,0
115,0,1,2190,1
116,0,0,1080,0
117,0,1,1980,1
118,0,2,1650,2
119,0,0,1350,0
120,0,0,2580,0
121,2,0,1260,2
122,0,1,1620,1
123,0,0,1380,0
124,0,0,1140,0
125,0,1,1050,1
126,0,0,1560,0
127,0,1,2070,1
128,0,1,1620,1
129,0,0,1440,0
130,0,0,1500,0
131,0,0,1710,0
132,1,0,1590,1
133,0,1,1500,1
134,0,1,1320,1
135,0,0,1230,0
136,0,4,1740,4
137,0,2,1020,2
138,0,0,1890,0
139,0,1,1680,1
140,1,1,1500,2
141,0,2,990,2
142,0,0,1380,0
143,0,0,2070,0
144,0,3,990,3
145,0,0,1740,0
146,0,0,1530,0
147,0,2,1320,2
148,0,0,1950,0
149,0,0,1020,0
150,0,1,1740,1
151,0,1,2370,1
152,0,1,1410,1
153,1,3,2670,4
154,0,3,1290,3
155,1,1,930,2
156,0,1,1770,1
157,0,0,2940,0
158,0,0,1500,0
159,0,1,1410,1
160,0,2,3450,2
161,0,1,1620,1
162,0,0,990,0
163,1,0,1290,1
164,0,0,1560,0
165,0,1,1560,1
166,0,1,1620,1
167,0,1,1620,1
168,0,0,1980,0
169,0,1,1530,1
170,0,0,1410,0
171,0,3,2070,3
172,0,0,2040,0
173,0,1,1500,1
174,2,1,1320,3
175,0,1,2040,1
176,0,0,1800,0
177,0,1,2670,1
178,0,0,1560,0
179,0,0,2310,0
180,1,0,1260,1
181,0,1,1830,1
182,1,3,2250,4
183,0,1,1830,1
184,0,0,1140,0
185,0,0,1680,0
186,0,0,1680,0
187,0,0,1500,0
188,0,1,1980,1
189,0,4,1560,4
190,0,0,1680,0
191,0,0,1530,0
192,0,0,1560,0
193,0,1,1080,1
194,0,1,2100,1
195,0,0,1830,0
196,0,2,1800,2
197,0,2,1770,2
198,2,1,1560,3
199,0,1,1560,1
200,0,0,1800,0
201,0,1,1200,1
202,0,0,1470,0
203,0,0,1410,0
204,0,2,1860,2
205,2,1,1290,3
206,0,0,1080,0
207,0,0,1590,0
208,0,0,2040,0
209,0,1,1920,1
210,0,1,1590,1
211,1,1,1470,2
212,0,0,1680,0
213,0,0,1260,0
214,1,2,2640,3
215,0,0,2250,0
216,0,2,1470,2
217,0,0,1140,0
218,0,0,2130,0
219,0,1,1560,1
220,0,1,2070,1
221,0,0,1560,0
222,0,1,2250,1
223,2,1,1590,3
224,0,0,2250,0
225,0,1,1800,1
226,0,1,1260,1
227,1,1,1800,2
228,2,1,1560,3
229,0,1,1920,1
230,1,0,1410,1
231,0,2,1620,2
232,0,3,2760,3
233,1,2,1530,3
234,0,2,1680,2
235,0,0,1110,0
236,0,0,1590,0
237,0,0,2490,0
238,0,0,1080,0
239,0,2,1710,2
240,0,0,1650,0
241,0,1,2040,1
242,0,1,1710,1
243,0,0,1620,0
244,0,0,990,0
245,0,0,1590,0
246,1,0,2010,1
247,0,0,1620,0
248,0,2,1800,2
249,0,1,1770,1
250,0,2,1620,2
251,0,0,1290,0
252,0,0,1920,0
253,0,0,1230,0
254,0,1,2040,1
255,0,0,1620,0
