,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,0,1710,0
1,2,0,1050,2
2,0,0,1590,0
3,0,0,1950,0
4,0,0,1920,0
5,2,0,1320,2
6,0,0,1560,0
7,0,0,2430,0
8,0,1,1530,1
9,0,1,1560,1
10,0,0,1380,0
11,0,0,1260,0
12,0,2,2280,2
13,0,0,930,0
14,0,0,1350,0
15,0,0,1860,0
16,0,0,1350,0
17,0,0,1200,0
18,0,1,1950,1
19,0,0,1530,0
20,0,0,1290,0
21,1,0,1080,1
22,0,1,1770,1
23,0,0,990,0
24,0,0,1680,0
25,0,2,1710,2
26,0,1,1500,1
27,0,1,1470,1
28,0,0,1770,0
29,0,0,1590,0
30,0,0,1440,0
31,0,0,1920,0
32,0,0,1710,0
33,0,0,1110,0
34,0,0,1740,0
35,0,1,2250,1
36,0,1,1770,1
37,0,0,1470,0
38,0,0,1140,0
39,0,1,2010,1
40,0,0,1110,0
41,0,0,2340,0
42,0,1,1770,1
43,0,0,990,0
44,0,0,1350,0
45,0,0,1860,0
46,0,1,1320,1
47,0,0,1740,0
48,0,0,1770,0
49,0,0,1530,0
50,0,0,1380,0
51,0,1,1860,1
52,0,0,1860,0
53,1,1,1590,2
54,0,0,1350,0
55,0,0,1140,0
56,0,0,1920,0
57,0,0,990,0
58,0,1,1650,1
59,0,0,1920,0
60,0,0,1500,0
61,0,0,930,0
62,0,0,1440,0
63,0,0,1890,0
64,0,1,1140,1
65,0,0,990,0
66,0,0,1590,0
67,0,0,1470,0
68,0,0,1050,0
69,0,0,1350,0
70,0,0,1350,0
71,0,0,1200,0
72,0,0,1980,0
73,0,0,1590,0
74,0,0,1740,0
75,0,0,1890,0
76,0,0,1500,0
77,0,0,2520,0
78,0,0,2010,0
79,0,1,1500,1
80,1,1,1860,2
81,0,0,1800,0
82,0,0,1170,0
83,0,1,1620,1
84,0,0,1200,0
85,1,1,1110,2
86,0,0,2580,0
87,0,0,1710,0
88,0,0,2580,0
89,0,0,1680,0
90,0,0,1950,0
91,0,0,1050,0
92,0,0,1740,0
93,0,0,2580,0
94,0,0,1050,0
95,0,0,1950,0
96,0,0,1710,0
97,0,0,1110,0
98,0,0,1800,0
99,0,1,1800,1
100,0,2,1020,2
101,0,0,1380,0
102,0,0,1950,0
103,0,0,1230,0
104,0,0,2700,0
105,0,0,2070,0
106,1,0,1830,1
107,0,2,1140,2
108,0,0,1440,0
109,0,0,1920,0
110,0,0,1590,0
111,0,0,1590,0
112,0,0,1350,0
113,0,0,1890,0
114,0,1,2280,1
115,0,0,1680,0
116,0,0,1440,0
117,0,3,2250,3
118,0,0,1350,0
119,0,0,1680,0
120,0,0,1230,0
121,1,0,2130,1
122,0,0,1650,0
123,0,0,1140,0
124,0,0,1590,0
125,0,1,1080,1
126,0,0,1560,0
127,0,0,2010,0
128,0,0,1410,0
129,0,0,1140,0
130,0,0,1950,0
131,1,1,1500,2
132,0,0,1830,0
133,1,0,1530,1
134,0,0,1350,0
135,0,0,1230,0
136,0,0,1470,0
137,0,0,2070,0
138,0,0,1710,0
139,0,0,1530,0
140,0,1,1500,1
141,0,0,1470,0
142,0,0,1890,0
143,0,0,1980,0
144,0,1,1650,1
145,0,0,1380,0
146,0,1,1110,1
147,0,0,1830,0
148,0,0,1710,0
149,0,0,870,0
150,0,0,1620,0
151,0,0,1830,0
152,0,0,1410,0
153,0,0,990,0
154,0,0,1620,0
155,0,1,1950,1
156,0,0,1200,0
157,0,0,990,0
158,0,0,1920,0
159,0,0,1290,0
160,0,0,2610,0
161,0,0,1470,0
162,0,0,1860,0
163,0,0,2760,0
164,0,0,1110,0
165,0,0,2130,0
166,1,0,1560,1
167,0,0,1140,0
168,0,0,3060,0
169,0,0,2100,0
170,0,0,1470,0
171,0,0,1410,0
172,0,0,1410,0
173,0,0,1770,0
174,0,0,1350,0
175,0,0,2160,0
