time,n_delay_added
00:00:00,0
00:15:00,6
00:30:00,5
00:45:00,12
01:00:00,4
01:15:00,4
01:30:00,4
01:45:00,4
02:00:00,4
02:15:00,4
02:30:00,5
02:45:00,5
03:00:00,11
03:15:00,14
03:30:00,16
03:45:00,5
04:00:00,12
04:15:00,16
04:30:00,11
04:45:00,11
05:00:00,12
05:15:00,12
05:30:00,12
05:45:00,16
06:00:00,5
06:15:00,5
06:30:00,5
06:45:00,5
07:00:00,4
07:15:00,4
07:30:00,4
07:45:00,5
08:00:00,5
08:15:00,4
08:30:00,4
08:45:00,5
09:00:00,5
09:15:00,12
09:30:00,12
09:45:00,16
10:00:00,16
10:15:00,5
10:30:00,5
10:45:00,4
11:00:00,4
11:15:00,4
11:30:00,4
11:45:00,4
12:00:00,4
12:15:00,12
12:30:00,4
12:45:00,4
13:00:00,5
13:15:00,5
13:30:00,5
13:45:00,12
14:00:00,12
14:15:00,4
14:30:00,4
14:45:00,4
15:00:00,4
15:15:00,4
15:30:00,4
15:45:00,19
16:00:00,19
16:15:00,4
16:30:00,19
16:45:00,19
17:00:00,5
17:15:00,11
17:30:00,5
17:45:00,16
18:00:00,5
18:15:00,5
18:30:00,12
18:45:00,14
19:00:00,12
19:15:00,12
19:30:00,12
19:45:00,12
20:00:00,12
20:15:00,12
20:30:00,4
20:45:00,4
21:00:00,5
21:15:00,5
21:30:00,5
21:45:00,12
22:00:00,12
22:15:00,16
22:30:00,16
22:45:00,12
23:00:00,16
23:15:00,16
23:30:00,5
23:45:00,5
23:45:30,16
23:46:00,12
23:46:30,5
23:47:00,14
23:47:30,11
23:48:00,11
23:48:30,11
23:49:00,5
