,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,0,450,0
1,0,1,1080,1
2,2,2,930,4
3,0,0,450,0
4,0,0,1110,0
5,2,1,900,3
6,0,1,480,1
7,0,0,1110,0
8,2,0,810,2
9,0,0,1050,0
10,0,2,510,2
11,2,1,900,3
12,0,0,450,0
13,0,2,1170,2
14,2,2,990,4
15,0,0,450,0
16,0,0,1110,0
17,2,1,960,3
18,0,0,450,0
19,0,0,1110,0
20,2,0,930,2
21,0,0,510,0
22,0,3,1200,3
23,2,1,960,3
24,0,0,450,0
25,2,1,900,3
26,0,6,1290,6
27,0,0,510,0
28,0,0,1110,0
29,2,1,900,3
30,0,0,510,0
31,0,1,1200,1
32,2,0,930,2
33,0,0,570,0
34,0,0,1230,0
35,2,2,1110,4
36,0,0,450,0
37,0,2,1230,2
38,2,2,930,4
39,0,0,330,0
40,0,0,1110,0
41,2,0,810,2
42,0,0,690,0
43,0,0,1110,0
44,2,2,990,4
45,0,0,690,0
46,0,1,1380,1
47,2,1,1140,3
48,0,1,780,1
49,0,0,1290,0
50,2,0,1170,2
51,0,1,840,1
52,0,0,1410,0
53,2,2,1230,4
54,0,1,900,1
55,0,0,1470,0
56,2,2,1350,4
57,0,0,870,0
58,0,0,1470,0
59,2,0,1290,2
60,0,0,750,0
61,0,0,1470,0
62,2,1,1200,3
63,0,0,690,0
64,0,2,1410,2
65,2,2,1230,4
66,0,1,720,1
67,0,1,1320,1
68,2,1,1080,3
69,0,0,690,0
70,0,0,1350,0
71,2,0,1110,2
72,0,0,810,0
73,0,1,1380,1
74,2,1,1200,3
75,0,0,750,0
76,0,0,1410,0
77,2,1,1200,3
78,0,1,720,1
79,0,0,1350,0
80,2,0,1110,2
81,0,1,720,1
82,0,0,1410,0
83,2,0,1110,2
84,0,0,690,0
85,0,2,1350,2
86,2,2,1110,4
87,0,2,870,2
88,0,1,1440,1
89,2,0,1230,2
90,0,0,750,0
91,0,1,1500,1
92,2,0,1170,2
93,0,0,810,0
94,0,0,1410,0
95,2,0,1170,2
96,0,0,750,0
97,0,1,1440,1
98,2,0,1110,2
99,0,1,720,1
100,0,0,1350,0
101,2,0,1110,2
102,0,0,810,0
103,0,3,1440,3
104,2,1,1200,3
105,0,0,1110,0
106,0,0,1530,0
107,2,1,1440,3
108,0,1,1260,1
109,0,0,1830,0
110,2,0,1650,2
111,0,0,1050,0
112,0,0,1890,0
113,2,1,1620,3
114,0,1,1140,1
115,0,3,1800,3
116,2,1,1620,3
117,0,0,1050,0
118,0,1,1860,1
119,2,0,1530,2
120,0,0,1170,0
121,0,0,1770,0
122,2,1,1560,3
123,0,1,1140,1
124,0,0,1830,0
125,2,1,1620,3
126,0,0,1830,0
127,0,2,1350,2
128,2,0,1590,2
129,0,0,1170,0
130,0,1,2040,1
131,2,0,1590,2
132,0,0,1230,0
133,0,1,1800,1
134,2,2,1710,4
135,0,0,1350,0
136,0,1,2040,1
137,2,1,1800,3
138,0,0,1410,0
139,0,1,2040,1
140,2,0,1770,2
141,0,0,2070,0
142,0,2,1350,2
143,2,0,1770,2
144,0,0,1950,0
145,2,0,1710,2
146,0,4,1410,4
147,0,1,1200,1
148,0,0,1950,0
149,2,1,1680,3
150,0,0,1290,0
151,0,2,1950,2
152,2,0,1710,2
153,0,1,1200,1
154,0,3,1980,3
155,2,1,1680,3
156,0,0,1350,0
157,0,2,2010,2
158,2,0,1770,2
159,0,0,1410,0
160,0,2,2070,2
161,2,1,1860,3
162,0,0,1410,0
163,0,1,2160,1
164,2,0,1890,2
165,0,0,1410,0
166,0,1,2100,1
167,2,2,1890,4
168,0,0,1290,0
169,0,2,2070,2
170,2,1,1740,3
171,0,1,1320,1
172,0,1,1920,1
173,2,1,1740,3
174,0,0,1410,0
175,0,0,1890,0
176,2,1,1800,3
177,0,0,1530,0
178,0,1,2100,1
179,2,1,1920,3
180,0,0,1650,0
181,0,0,2130,0
182,2,0,2070,2
183,0,0,1710,0
184,0,0,2370,0
185,2,1,2160,3
186,0,0,1770,0
187,0,1,2340,1
188,2,0,2130,2
189,0,0,1890,0
190,0,0,2490,0
191,2,0,2310,2
192,0,1,1860,1
193,0,0,2550,0
194,2,1,2340,3
195,0,0,1830,0
196,0,1,2460,1
197,2,0,2250,2
198,0,0,2070,0
199,0,0,2550,0
200,2,1,2460,3
201,0,0,2070,0
202,0,3,2820,3
203,2,2,2430,4
204,0,1,1980,1
205,0,0,2610,0
206,2,1,2340,3
207,0,0,2670,0
208,0,3,2040,3
209,2,1,2520,3
210,0,0,2010,0
211,0,2,2730,2
212,2,2,2490,4
213,0,0,2070,0
214,0,1,2640,1
215,2,0,2430,2
216,0,0,2010,0
217,0,0,2730,0
218,2,1,2520,3
219,0,0,1950,0
220,0,0,2610,0
221,2,0,2370,2
222,0,0,2010,0
223,0,1,2580,1
224,2,0,2370,2
225,0,0,1890,0
226,0,2,2730,2
227,2,0,2310,2
228,0,1,1740,1
229,0,0,2550,0
230,2,0,2250,2
231,0,0,1710,0
232,0,3,2460,3
233,2,2,2130,4
234,0,1,1860,1
235,0,0,2430,0
236,2,0,2250,2
237,0,0,1770,0
238,0,1,2520,1
239,2,0,2190,2
240,0,0,1830,0
241,0,1,2460,1
242,2,0,2130,2
243,0,0,1710,0
244,0,1,2460,1
245,2,1,2280,3
246,0,1,1800,1
247,0,0,2370,0
248,2,0,2130,2
249,0,0,1710,0
250,0,1,2460,1
251,2,1,2160,3
252,0,1,1860,1
253,0,0,2370,0
254,2,0,2190,2
255,0,0,2490,0
256,2,0,2130,2
