,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,0,390,0
1,0,0,1050,0
2,2,0,870,2
3,0,1,240,1
4,0,0,1050,0
5,2,0,750,2
6,0,0,870,0
7,2,0,630,2
8,0,0,990,0
9,0,0,810,0
10,2,0,630,2
11,0,0,1110,0
12,0,0,930,0
13,2,0,690,2
14,0,1,1140,1
15,0,0,870,0
16,2,0,690,2
17,0,0,1230,0
18,0,0,990,0
19,2,0,810,2
20,0,0,1230,0
21,0,0,870,0
22,2,0,630,2
23,0,0,1230,0
24,0,0,990,0
25,2,0,750,2
26,0,0,1050,0
27,0,0,810,0
28,2,1,540,3
29,0,0,1050,0
30,0,0,870,0
31,2,0,570,2
32,0,0,1110,0
33,0,0,870,0
34,2,2,750,4
35,0,0,1110,0
36,0,0,810,0
37,2,0,630,2
38,0,0,1110,0
39,0,0,810,0
40,2,0,630,2
41,0,0,1110,0
42,0,0,1050,0
43,2,0,750,2
44,0,0,1230,0
45,0,0,990,0
46,2,0,690,2
47,0,0,1170,0
48,0,0,990,0
49,2,0,810,2
50,0,0,1350,0
51,0,0,1110,0
52,2,0,870,2
53,0,0,1290,0
54,0,0,1110,0
55,2,0,870,2
56,0,0,1290,0
57,0,0,990,0
58,2,0,750,2
59,0,0,1170,0
60,0,0,930,0
61,2,0,750,2
62,0,0,1290,0
63,0,0,1110,0
64,2,0,750,2
65,0,0,1230,0
66,0,0,930,0
67,2,0,690,2
68,0,0,1230,0
69,0,0,990,0
70,2,0,870,2
71,0,0,1290,0
72,0,0,1170,0
73,2,0,930,2
74,0,0,1410,0
75,0,0,1230,0
76,2,0,1050,2
77,0,0,1470,0
78,0,0,1110,0
79,2,0,930,2
80,0,0,1410,0
81,0,0,1170,0
82,2,1,900,3
83,0,0,1350,0
84,0,0,1170,0
85,2,0,930,2
86,0,0,1470,0
87,0,1,1260,1
88,2,0,1050,2
89,0,0,1410,0
90,0,1,1140,1
91,2,0,930,2
92,0,0,1350,0
93,0,0,1110,0
94,2,0,930,2
95,0,0,1470,0
96,0,0,1350,0
97,2,0,1170,2
98,0,0,1710,0
99,0,0,1350,0
100,2,0,1170,2
101,0,0,1710,0
102,0,0,1530,0
103,2,0,1110,2
104,0,0,1650,0
105,0,0,1350,0
106,2,0,1110,2
107,0,0,1650,0
108,0,0,1410,0
109,2,0,1110,2
110,0,0,1650,0
111,0,0,1470,0
112,2,0,1110,2
113,0,0,1650,0
114,0,1,1500,1
115,2,0,1230,2
116,0,0,1650,0
117,0,0,1410,0
118,2,0,1170,2
119,0,0,1590,0
120,0,0,1410,0
121,2,0,1050,2
122,0,0,1470,0
123,0,0,1230,0
124,2,0,990,2
125,0,0,1470,0
126,0,0,1170,0
127,2,0,990,2
128,0,0,1470,0
129,0,0,1170,0
130,2,0,1050,2
131,0,0,1470,0
132,0,0,1230,0
133,2,0,990,2
134,0,0,1470,0
135,0,0,1290,0
136,2,0,1110,2
137,0,0,1530,0
138,0,0,1290,0
139,2,0,990,2
140,0,0,1530,0
141,0,0,1350,0
142,2,0,1110,2
143,0,0,1650,0
144,0,0,1410,0
145,2,0,1230,2
146,0,0,1770,0
147,0,0,1410,0
148,2,0,1170,2
149,0,0,1590,0
150,0,0,1410,0
151,2,0,1230,2
152,0,0,1650,0
153,0,0,1350,0
154,2,0,1170,2
155,0,0,1530,0
156,0,0,1290,0
157,2,0,1050,2
158,0,0,1530,0
159,0,0,1230,0
160,2,1,960,3
161,0,0,1410,0
162,0,0,1170,0
163,2,0,930,2
164,0,0,1470,0
165,0,0,1230,0
166,2,0,930,2
167,0,0,1350,0
168,0,1,1200,1
169,2,0,930,2
170,0,0,1350,0
171,0,0,1110,0
172,2,0,930,2
173,0,0,1410,0
174,0,0,1170,0
175,2,0,990,2
176,0,0,1470,0
177,0,0,1230,0
178,2,0,930,2
179,0,0,1410,0
180,0,0,1050,0
181,2,0,990,2
182,0,0,1470,0
183,0,0,1110,0
184,2,1,900,3
185,0,0,1350,0
186,0,0,1050,0
187,2,0,810,2
188,0,0,1290,0
189,0,0,1110,0
190,2,0,750,2
191,0,0,1170,0
192,0,0,930,0
193,2,0,750,2
194,0,0,1230,0
195,0,0,1050,0
196,2,0,810,2
197,0,0,1350,0
198,0,1,1200,1
199,2,0,990,2
200,0,0,1590,0
201,0,0,1410,0
202,2,0,1170,2
203,0,0,1710,0
204,0,0,1410,0
205,2,0,1170,2
206,0,0,1710,0
207,0,0,1470,0
208,2,0,1350,2
209,0,1,1860,1
210,0,0,1650,0
211,2,0,1350,2
212,0,1,1860,1
213,0,1,1680,1
214,2,0,1470,2
215,0,0,1890,0
216,0,0,1650,0
217,2,0,1410,2
218,0,0,1830,0
219,0,0,1590,0
220,2,0,1290,2
221,0,0,1710,0
222,0,0,1470,0
223,2,0,1290,2
224,0,0,1770,0
225,0,0,1410,0
226,2,0,1170,2
227,0,0,1710,0
228,0,1,1500,1
229,2,0,1290,2
230,0,0,1830,0
231,0,0,1650,0
232,2,0,1350,2
233,0,0,1830,0
234,0,0,1650,0
235,2,0,1470,2
236,0,0,1890,0
237,0,0,1650,0
238,2,0,1530,2
239,0,0,2070,0
240,0,0,1770,0
241,2,0,1590,2
242,0,1,2040,1
243,0,0,1830,0
244,2,0,1650,2
245,0,0,2070,0
246,0,0,1890,0
247,2,1,1560,3
248,0,0,2070,0
249,0,0,1770,0
250,2,0,1470,2
251,0,0,2070,0
252,0,0,1770,0
253,2,0,1530,2
254,0,0,2070,0
