,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,0,510,0
1,0,0,1050,0
2,2,0,870,2
3,0,0,450,0
4,0,0,1110,0
5,2,0,870,2
6,0,0,450,0
7,0,0,1050,0
8,2,0,810,2
9,0,0,450,0
10,0,0,1110,0
11,2,0,870,2
12,0,0,570,0
13,0,0,1110,0
14,2,0,870,2
15,0,0,570,0
16,0,0,1230,0
17,2,0,990,2
18,0,0,390,0
19,0,0,1170,0
20,2,0,870,2
21,0,0,150,0
22,0,0,930,0
23,2,0,630,2
24,0,0,690,0
25,2,0,450,2
26,0,0,990,0
27,0,0,690,0
28,2,0,450,2
29,0,0,1050,0
30,0,0,810,0
31,2,0,390,2
32,0,0,870,0
33,0,0,630,0
34,2,0,390,2
35,0,0,810,0
36,0,0,570,0
37,2,0,330,2
38,0,0,810,0
39,0,1,540,1
40,2,0,270,2
41,0,0,810,0
42,0,0,510,0
43,0,0,750,0
44,0,0,1050,0
45,2,0,630,2
46,0,0,750,0
47,0,0,1110,0
48,2,0,570,2
49,0,0,810,0
50,0,0,1110,0
51,2,0,630,2
52,0,0,750,0
53,0,0,1110,0
54,2,0,570,2
55,0,0,810,0
56,0,0,1110,0
57,2,0,570,2
58,0,0,810,0
59,0,0,1110,0
60,2,0,570,2
61,0,0,870,0
62,0,0,1110,0
63,2,0,690,2
64,0,0,870,0
65,0,0,1170,0
66,2,0,630,2
67,0,0,990,0
68,0,0,1230,0
69,2,0,750,2
70,0,0,1050,0
71,0,1,1440,1
72,2,0,870,2
73,0,0,1050,0
74,0,1,1440,1
75,2,1,840,3
76,0,0,990,0
77,0,0,1290,0
78,2,0,750,2
79,0,0,930,0
80,0,0,1350,0
81,2,0,690,2
82,0,0,690,0
83,0,0,1170,0
84,2,0,450,2
85,0,0,690,0
86,0,0,1050,0
87,2,0,450,2
88,0,0,630,0
89,0,1,960,1
90,2,0,390,2
91,0,0,510,0
92,0,0,870,0
93,2,0,330,2
94,0,1,600,1
95,0,0,930,0
96,2,1,360,3
97,0,0,570,0
98,0,0,930,0
99,2,0,450,2
100,0,0,630,0
101,0,0,990,0
102,2,0,450,2
103,0,0,570,0
104,0,0,930,0
105,2,0,330,2
106,0,0,390,0
107,0,1,840,1
108,0,0,270,0
109,0,0,990,0
110,2,0,690,2
111,0,0,270,0
112,0,0,870,0
113,2,0,630,2
114,0,0,210,0
115,0,0,870,0
116,2,0,570,2
117,0,0,210,0
118,0,0,930,0
119,2,0,630,2
120,0,0,150,0
121,0,0,870,0
122,2,0,630,2
123,0,0,150,0
124,0,0,870,0
125,2,0,570,2
126,0,0,210,0
127,0,0,750,0
128,2,0,630,2
129,0,0,150,0
130,0,0,750,0
131,2,0,630,2
132,0,0,750,0
133,2,0,570,2
134,0,0,990,0
135,0,0,750,0
136,2,0,450,2
137,0,1,1020,1
138,0,0,810,0
139,2,0,510,2
140,0,0,1110,0
141,0,0,810,0
142,2,0,690,2
143,0,0,1110,0
144,0,0,870,0
145,2,0,630,2
146,0,0,1230,0
147,0,0,1050,0
148,2,0,630,2
149,0,0,1110,0
150,0,0,870,0
151,2,0,690,2
152,0,0,1230,0
153,0,0,990,0
154,2,0,750,2
155,0,0,1170,0
156,0,0,930,0
157,2,0,570,2
158,0,0,930,0
159,0,0,690,0
160,2,0,390,2
161,0,0,870,0
162,0,0,570,0
163,0,0,630,0
164,0,0,1050,0
165,2,0,570,2
166,0,0,810,0
167,0,0,1110,0
168,2,0,690,2
169,0,0,930,0
170,0,0,1230,0
171,2,0,810,2
172,0,0,990,0
173,0,0,1290,0
174,2,0,930,2
175,0,0,1110,0
176,0,0,1470,0
177,2,0,930,2
178,0,0,1230,0
179,0,0,1530,0
180,2,0,1050,2
181,0,0,1170,0
182,0,0,1590,0
183,2,0,930,2
184,0,0,1230,0
185,0,0,1530,0
186,2,0,930,2
187,0,0,990,0
188,0,0,1410,0
189,2,0,870,2
190,0,0,1110,0
191,0,1,1380,1
192,2,0,930,2
193,0,1,1200,1
194,0,0,1530,0
195,2,0,1050,2
196,0,0,1350,0
197,0,0,1590,0
198,2,0,1110,2
199,0,0,1230,0
200,0,0,1590,0
201,2,1,960,3
202,0,0,1110,0
203,0,0,1470,0
204,2,1,1020,3
205,0,0,1050,0
206,0,0,1410,0
207,2,0,930,2
208,0,0,990,0
209,0,0,1350,0
210,2,0,930,2
211,0,0,1230,0
212,0,0,1530,0
213,2,0,990,2
214,0,0,1350,0
215,0,0,1590,0
216,2,0,1170,2
217,0,0,1350,0
218,0,0,1770,0
219,2,0,1230,2
220,0,0,1470,0
221,0,0,1830,0
222,2,0,1290,2
223,0,0,1470,0
224,0,0,1890,0
225,2,0,1350,2
226,0,0,1530,0
227,0,0,1830,0
228,2,0,1290,2
229,0,0,1470,0
230,0,0,1830,0
231,2,0,1290,2
232,0,0,1530,0
233,0,0,1830,0
234,2,0,1410,2
235,0,0,1650,0
236,0,0,1950,0
237,2,0,1530,2
238,0,0,1650,0
239,0,0,2070,0
240,2,0,1530,2
241,0,0,1650,0
242,0,0,2010,0
243,2,0,1530,2
244,0,0,1770,0
245,0,0,2070,0
246,2,0,1650,2
247,0,0,1770,0
248,0,0,2130,0
249,2,0,1590,2
250,0,0,2250,0
