time,count_aircraft,count_conflict_nodes,count,count_conflict
00:00:30,2,0,0,0
00:01:00,2,0,0,0
00:01:30,2,0,0,0
00:02:00,2,0,0,0
00:02:30,2,0,0,0
00:03:00,2,0,0,0
00:03:30,2,0,0,0
00:04:00,2,0,0,0
00:04:30,3,0,0,0
00:05:00,3,0,0,0
00:05:30,3,0,0,0
00:06:00,3,0,0,0
00:06:30,3,0,0,1
00:07:00,3,0,0,1
00:07:30,3,0,0,1
00:08:00,3,0,0,1
00:08:30,4,0,0,2
00:09:00,4,0,0,2
00:09:30,4,0,0,2
00:10:00,4,0,0,2
00:10:30,4,0,0,2
00:11:00,4,0,0,2
00:11:30,4,0,0,2
00:12:00,4,0,0,2
00:12:30,4,0,0,2
00:13:00,4,0,0,2
00:13:30,5,0,0,2
00:14:00,5,0,0,2
00:14:30,5,0,0,2
00:15:00,5,0,0,2
00:15:30,5,0,0,2
00:16:00,5,0,0,2
00:16:30,5,0,0,6
00:17:00,5,0,0,10
00:17:30,5,0,0,10
00:18:00,5,1,2,10
00:18:30,6,1,2,10
00:19:00,6,1,2,10
00:19:30,6,1,2,10
00:20:00,6,1,2,10
00:20:30,6,1,2,10
00:21:00,6,1,2,10
00:21:30,6,1,2,10
00:22:00,6,1,2,10
00:22:30,7,1,2,11
00:23:00,7,1,2,11
00:23:30,7,1,2,11
00:24:00,7,1,2,11
00:24:30,7,1,2,11
00:25:00,7,1,2,11
00:25:30,8,1,2,11
00:26:00,8,1,2,11
00:26:30,8,1,2,11
00:27:00,8,1,2,11
00:27:30,8,1,2,11
00:28:00,8,1,2,11
00:28:30,8,1,2,11
00:29:00,8,1,2,11
00:29:30,8,1,2,11
00:30:00,8,1,2,11
00:30:30,8,1,3,11
00:31:00,8,1,3,11
00:31:30,8,1,2,12
00:32:00,8,1,2,21
00:32:30,8,1,2,21
00:33:00,8,3,6,21
00:33:30,8,3,6,21
00:34:00,8,3,6,21
00:34:30,8,3,6,21
00:35:00,8,3,6,21
00:35:30,8,3,6,21
00:36:00,8,3,6,21
00:36:30,8,2,4,16
00:37:00,8,2,4,16
00:37:30,8,2,4,16
00:38:00,8,2,4,16
00:38:30,8,2,4,16
00:39:00,8,2,5,16
00:39:30,8,2,5,16
00:40:00,8,2,5,16
