,n_scheduler_delay,n_uncertainty_delay,time_taken,n_delay
0,0,0,510,0
1,0,0,1050,0
2,2,0,930,2
3,0,0,630,0
4,0,0,1170,0
5,2,0,990,2
6,0,0,510,0
7,0,0,1170,0
8,2,0,870,2
9,0,0,390,0
10,0,0,1110,0
11,2,0,810,2
12,0,0,210,0
13,0,0,930,0
14,2,0,570,2
15,0,0,810,0
16,2,0,570,2
17,0,0,990,0
18,0,0,810,0
19,2,0,570,2
20,0,0,1110,0
21,0,0,930,0
22,2,0,690,2
23,0,0,1230,0
24,0,0,1110,0
25,2,0,810,2
26,0,0,1290,0
27,0,0,1050,0
28,2,0,870,2
29,0,0,1230,0
30,0,0,990,0
31,2,0,810,2
32,0,0,1350,0
33,0,0,1170,0
34,2,0,1050,2
35,0,0,1410,0
36,0,0,1230,0
37,2,0,1110,2
38,0,0,1590,0
39,0,0,1350,0
40,2,0,1110,2
41,0,0,1410,0
42,0,0,1110,0
43,2,0,810,2
44,0,0,1350,0
45,0,0,990,0
46,2,0,690,2
47,0,0,1170,0
48,0,0,810,0
49,2,0,510,2
50,0,0,930,0
51,0,0,630,0
52,2,0,330,2
53,0,0,870,0
54,0,0,690,0
55,2,0,330,2
56,0,0,750,0
57,0,0,450,0
58,0,0,630,0
59,0,0,990,0
60,2,0,330,2
61,0,0,510,0
62,0,0,870,0
63,0,0,330,0
64,0,0,990,0
65,2,0,750,2
66,0,0,570,0
67,0,0,990,0
68,2,0,870,2
69,0,0,570,0
70,0,0,1170,0
71,2,0,990,2
72,0,0,330,0
73,0,0,1050,0
74,2,0,870,2
75,0,0,330,0
76,0,0,990,0
77,2,0,750,2
78,0,0,210,0
79,0,0,930,0
80,2,0,690,2
81,0,0,270,0
82,0,0,870,0
83,2,0,630,2
84,0,0,330,0
85,0,0,990,0
86,2,0,690,2
87,0,0,930,0
88,2,0,570,2
89,0,0,930,0
90,0,0,690,0
91,2,0,330,2
92,0,0,810,0
93,0,0,690,0
94,2,0,390,2
95,0,0,810,0
96,0,0,510,0
97,2,0,270,2
98,0,0,690,0
99,0,0,390,0
100,0,0,630,0
101,0,0,990,0
102,2,0,510,2
103,0,0,630,0
104,0,0,990,0
105,2,0,450,2
106,0,0,630,0
107,0,0,930,0
108,2,0,450,2
109,0,0,690,0
110,0,0,990,0
111,2,0,630,2
112,0,0,750,0
113,0,0,1170,0
114,2,0,570,2
115,0,0,690,0
116,0,0,1110,0
117,2,0,570,2
118,0,0,690,0
119,0,0,1050,0
120,2,0,450,2
121,0,0,570,0
122,0,0,930,0
123,2,0,450,2
124,0,0,630,0
125,0,0,990,0
126,2,0,450,2
127,0,0,570,0
128,0,0,930,0
129,2,0,390,2
130,0,0,690,0
131,0,0,930,0
132,2,0,450,2
133,0,0,630,0
134,0,0,990,0
135,2,0,510,2
136,0,0,570,0
137,0,0,930,0
138,2,0,450,2
139,0,0,510,0
140,0,0,930,0
141,2,0,270,2
142,0,0,450,0
143,0,0,930,0
144,0,0,390,0
145,0,0,1050,0
146,2,0,750,2
147,0,0,450,0
148,0,0,990,0
149,2,0,750,2
150,0,0,510,0
151,0,0,1110,0
152,2,0,870,2
153,0,0,510,0
154,0,0,1170,0
155,2,0,930,2
156,0,0,450,0
157,0,0,1110,0
158,2,0,930,2
159,0,0,510,0
160,0,0,1050,0
161,2,0,810,2
162,0,0,570,0
163,0,0,1110,0
164,2,0,930,2
165,0,0,690,0
166,0,0,1290,0
167,2,0,1050,2
168,0,0,690,0
169,0,0,1350,0
170,2,0,1170,2
171,0,0,690,0
172,0,0,1410,0
173,2,0,1110,2
174,0,0,630,0
175,0,0,1230,0
176,2,0,1050,2
177,0,0,630,0
178,0,0,1290,0
179,2,0,1110,2
180,0,0,510,0
181,0,0,1230,0
182,2,0,930,2
183,0,0,570,0
184,0,0,1230,0
185,2,0,1050,2
186,0,0,570,0
187,0,0,1230,0
188,2,0,990,2
189,0,0,510,0
190,0,0,1170,0
191,2,0,870,2
192,0,0,630,0
193,0,0,1350,0
194,2,0,1050,2
195,0,0,510,0
196,0,0,1290,0
197,2,0,990,2
198,0,0,390,0
199,0,0,1050,0
200,2,0,810,2
201,0,0,570,0
202,0,0,1050,0
203,2,0,990,2
204,0,0,450,0
205,0,0,1230,0
206,2,0,810,2
207,0,0,330,0
208,0,0,1050,0
209,2,0,810,2
210,0,0,330,0
211,0,0,990,0
212,2,0,810,2
213,0,0,330,0
214,0,0,1050,0
215,2,0,810,2
216,0,0,510,0
217,0,0,1050,0
218,2,0,930,2
219,0,0,690,0
220,0,0,1230,0
221,2,0,1050,2
222,0,0,750,0
223,0,0,1350,0
224,2,0,1230,2
225,0,0,630,0
226,0,0,1350,0
227,2,0,1110,2
228,0,0,510,0
229,0,0,1230,0
230,2,0,1050,2
231,0,0,450,0
232,0,0,1110,0
233,2,0,930,2
234,0,0,390,0
235,0,0,1110,0
236,2,0,870,2
237,0,0,510,0
238,0,0,1170,0
239,2,0,870,2
240,0,0,330,0
241,0,0,1110,0
242,2,0,870,2
243,0,0,270,0
244,0,0,1050,0
245,2,0,750,2
