# SDSS-SOSS Airport Adaptation : links.txt
# 2014/04/11 07:29:59
# Airport: CLT
#
# Link#	From Node	To Node	From Name	To Name	Taxiway Label	Link Type
0	2	519	A11	RMP239s	-	GATE_LINK
1	6	739	A3	RMP57	-	GATE_LINK
2	8	738	A5	RMP56	-	GATE_LINK
3	10	656	A7	RMP361	-	GATE_LINK
4	12	747	A9	RMP63	-	GATE_LINK
5	22	23	AIR_CARGO-8	AIR_CARGO-8s	-	GATE_LINK
6	23	452	AIR_CARGO-8s	RMP193	-	RAMP_LINK
7	23	644	AIR_CARGO-8s	RMP351	-	RAMP_LINK
8	25	38	ANG1	ANG8s	-	RAMP_LINK
9	26	674	ANG10	RMP378	-	RAMP_LINK
10	26	36	ANG10	ANG6s	-	RAMP_LINK
11	27	665	ANG11	RMP37	-	RAMP_LINK
12	27	672	ANG11	RMP376	-	RAMP_LINK
13	28	676	ANG12	RMP37s	-	RAMP_LINK
14	29	32	ANG13	ANG2s	-	RAMP_LINK
15	30	579	ANG15	RMP291	-	RAMP_LINK
16	30	704	ANG15	RMP41	-	RAMP_LINK
17	31	37	ANG2	ANG7s	-	RAMP_LINK
18	32	704	ANG2s	RMP41	-	RAMP_LINK
19	32	642	ANG2s	RMP35	-	RAMP_LINK
20	33	675	ANG3	RMP379	-	RAMP_LINK
21	34	674	ANG4	RMP378	-	RAMP_LINK
22	36	574	ANG6s	RMP287	-	RAMP_LINK
23	37	38	ANG7s	ANG8s	-	RAMP_LINK
24	37	36	ANG7s	ANG6s	-	RAMP_LINK
25	38	684	ANG8s	RMP39	-	RAMP_LINK
26	39	671	ANG9	RMP375	-	RAMP_LINK
27	39	40	ANG9	ANG9s	-	RAMP_LINK
28	40	684	ANG9s	RMP39	-	RAMP_LINK
29	42	381	B10	RMP136	-	GATE_LINK
30	43	366	B11	RMP124	-	GATE_LINK
31	44	390	B12	RMP143	-	GATE_LINK
32	46	553	B14	RMP269	-	GATE_LINK
33	47	396	B15	RMP147	-	GATE_LINK
34	48	397	B16	RMP148	-	GATE_LINK
35	50	750	B3	RMP70	-	GATE_LINK
36	51	380	B4	RMP135	-	GATE_LINK
37	53	371	B6	RMP129	-	GATE_LINK
38	54	363	B7	RMP121	-	GATE_LINK
39	56	365	B9	RMP123	-	GATE_LINK
40	58	374	C11	RMP130	-	GATE_LINK
41	61	406	C14	RMP154s	-	GATE_LINK
42	64	382	C17	RMP137	-	GATE_LINK
43	66	403	C19	RMP152	-	GATE_LINK
44	71	347	C6	RMP107	-	GATE_LINK
45	73	349	C8	RMP109	-	GATE_LINK
46	79	448	D13	RMP189	-	GATE_LINK
47	81	456	D3	RMP195	-	GATE_LINK
48	83	537	D5	RMP254	-	GATE_LINK
49	84	582	D6	RMP293	-	GATE_LINK
50	85	538	D7	RMP255	-	GATE_LINK
51	87	539	D9	RMP256	-	GATE_LINK
52	88	583	E1	RMP294	-	GATE_LINK
53	89	661	E10	RMP366	-	GATE_LINK
54	90	587	E11	RMP297s	-	GATE_LINK
55	91	348	E12	RMP108	-	GATE_LINK
56	94	679	E14A	RMP384	-	GATE_LINK
57	95	625	E15	RMP333	-	GATE_LINK
58	96	719	E16	RMP431	-	GATE_LINK
59	98	626	E17	RMP334	-	GATE_LINK
60	99	718	E18	RMP430	-	GATE_LINK
61	102	668	E20	RMP372	-	GATE_LINK
62	103	661	E21	RMP366	-	GATE_LINK
63	106	666	E24	RMP370	-	GATE_LINK
64	107	680	E25	RMP386	-	GATE_LINK
65	109	681	E27	RMP387	-	GATE_LINK
66	111	682	E29	RMP388	-	GATE_LINK
67	112	584	E3	RMP295	-	GATE_LINK
68	113	663	E30	RMP368	-	GATE_LINK
69	120	655	E36	RMP360	-	GATE_LINK
70	121	654	E38A	RMP359	-	GATE_LINK
71	124	585	E5	RMP296	-	GATE_LINK
72	126	409	E6	RMP157	-	GATE_LINK
73	128	669	E8	RMP373	-	GATE_LINK
74	130	131	EXIT0	EXIT1	E5	TAXI_LINK
75	130	1053	EXIT0	TAXI170	-	TAXI_LINK
76	131	1143	EXIT1	TAXI248	-	TAXI_LINK
77	132	1137	EXIT101	TAXI242	-	TAXI_LINK
78	133	273	EXIT11	RC-18C-36C-E7-SE	E7	TAXI_LINK
79	136	137	EXIT39	EXIT39s	-	TAXI_LINK
80	137	862	EXIT39s	RWY58	-	ARRIVAL_LINK
81	137	789	EXIT39s	RWY10	-	ARRIVAL_LINK
82	138	324	EXIT45	RC-5-23-C-S	C	RUNWAY_XING_LINK
83	139	287	EXIT56	RC-18L-36R-C10-NW	C10	TAXI_LINK
84	140	271	EXIT6	RC-18C-36C-E4-SE	E4	TAXI_LINK
85	140	142	EXIT6	EXIT6s	-	TAXI_LINK
86	141	274	EXIT61	RC-18C-36C-E8-NE	E8	TAXI_LINK
87	142	825	EXIT6s	RWY33	-	ARRIVAL_LINK
88	143	144	EXIT72	EXIT72s	-	TAXI_LINK
89	144	838	EXIT72s	RWY42	-	ARRIVAL_LINK
90	145	312	EXIT74	RC-18R-36L-W3-SE	W3	TAXI_LINK
91	148	301	EXIT86	RC-18L-36R-D4-SE	D4	RUNWAY_XING_LINK
92	148	149	EXIT86	EXIT86s	-	RUNWAY_XING_LINK
93	149	296	EXIT86s	RC-18L-36R-C7-W	-	RUNWAY_XING_LINK
94	151	326	EXIT94	RC-5-23-D-S	D	TAXI_LINK
95	151	152	EXIT94	EXIT94s	-	TAXI_LINK
96	152	859	EXIT94s	RWY54	-	ARRIVAL_LINK
97	153	333	EXIT95	RC-5-23-M2-NW	M2	TAXI_LINK
98	154	321	EXIT95s	RC-5-23-B-NW	-	TAXI_LINK
99	154	847	EXIT95s	RWY48	-	ARRIVAL_LINK
100	155	419	GA1	RMP164	-	GATE_LINK
101	155	591	GA1	RMP300	-	GATE_LINK
102	155	593	GA1	RMP302	-	GATE_LINK
103	156	592	GA10	RMP301	-	RAMP_LINK
104	156	340	GA10	RMP100	-	RAMP_LINK
105	156	588	GA10	RMP298	-	RAMP_LINK
106	156	586	GA10	RMP297	-	RAMP_LINK
107	157	632	GA1A	RMP339	-	RAMP_LINK
108	157	631	GA1A	RMP338	-	RAMP_LINK
109	159	593	GA2	RMP302	-	GATE_LINK
110	159	594	GA2	RMP303	-	GATE_LINK
111	159	591	GA2	RMP300	-	GATE_LINK
112	159	592	GA2	RMP301	-	GATE_LINK
113	160	621	GA21	RMP329	-	RAMP_LINK
114	160	617	GA21	RMP326	-	RAMP_LINK
115	160	622	GA21	RMP330	-	RAMP_LINK
116	161	619	GA22	RMP327	-	RAMP_LINK
117	161	623	GA22	RMP331	-	RAMP_LINK
118	161	622	GA22	RMP330	-	RAMP_LINK
119	162	620	GA23	RMP328	-	RAMP_LINK
120	162	619	GA23	RMP327	-	RAMP_LINK
121	162	624	GA23	RMP332	-	RAMP_LINK
122	162	623	GA23	RMP331	-	RAMP_LINK
123	163	632	GA2A	RMP339	-	RAMP_LINK
124	163	634	GA2A	RMP340	-	RAMP_LINK
125	165	567	GA3	RMP28	-	GATE_LINK
126	165	592	GA3	RMP301	-	GATE_LINK
127	165	340	GA3	RMP100	-	GATE_LINK
128	166	634	GA3A	RMP340	-	RAMP_LINK
129	167	636	GA3B	RMP342	-	GATE_LINK
130	168	567	GA4	RMP28	-	GATE_LINK
131	168	172	GA4	GA8	-	GATE_LINK
132	168	340	GA4	RMP100	-	GATE_LINK
133	169	593	GA5	RMP302	-	GATE_LINK
134	169	578	GA5	RMP29	-	GATE_LINK
135	169	532	GA5	RMP25	-	GATE_LINK
136	170	595	GA6	RMP304	-	GATE_LINK
137	170	596	GA6	RMP305	-	GATE_LINK
138	170	593	GA6	RMP302	-	GATE_LINK
139	170	594	GA6	RMP303	-	GATE_LINK
140	171	554	GA7	RMP27	-	GATE_LINK
141	171	594	GA7	RMP303	-	GATE_LINK
