# SDSS-SOSS Airport Adaptation : links.txt
# 2014/09/24 09:11:59
# Airport: CLT
#
#VERSION ca124538e25a8068d35afa070c9568a8
#
# Link#	From Node	To Node	From Name	To Name	Taxiway Label	Link Type
0	2	516	A11	RMP239s	-	GATE_LINK
1	6	739	A3	RMP57	-	GATE_LINK
2	8	738	A5	RMP56	-	GATE_LINK
3	10	646	A7	RMP361	-	GATE_LINK
4	12	359	A9	RMP115s	-	GATE_LINK
5	12	743	A9	RMP60	-	GATE_LINK
6	22	23	AIR_CARGO-8	AIR_CARGO-8s	-	GATE_LINK
7	23	448	AIR_CARGO-8s	RMP193	-	RAMP_LINK
8	23	634	AIR_CARGO-8s	RMP351	-	RAMP_LINK
9	25	38	ANG1	ANG8s	-	RAMP_LINK
10	26	663	ANG10	RMP378	-	RAMP_LINK
11	26	36	ANG10	ANG6s	-	RAMP_LINK
12	27	655	ANG11	RMP37	-	RAMP_LINK
13	27	662	ANG11	RMP376	-	RAMP_LINK
14	28	665	ANG12	RMP37s	-	RAMP_LINK
15	29	32	ANG13	ANG2s	-	RAMP_LINK
16	30	572	ANG15	RMP291	-	RAMP_LINK
17	30	692	ANG15	RMP41	-	RAMP_LINK
18	31	37	ANG2	ANG7s	-	RAMP_LINK
19	32	692	ANG2s	RMP41	-	RAMP_LINK
20	32	632	ANG2s	RMP35	-	RAMP_LINK
21	33	664	ANG3	RMP379	-	RAMP_LINK
22	34	663	ANG4	RMP378	-	RAMP_LINK
23	36	567	ANG6s	RMP287	-	RAMP_LINK
24	37	38	ANG7s	ANG8s	-	RAMP_LINK
25	37	36	ANG7s	ANG6s	-	RAMP_LINK
26	38	673	ANG8s	RMP39	-	RAMP_LINK
27	39	661	ANG9	RMP375	-	RAMP_LINK
28	39	40	ANG9	ANG9s	-	RAMP_LINK
29	40	673	ANG9s	RMP39	-	RAMP_LINK
30	42	379	B10	RMP136	-	GATE_LINK
31	43	366	B11	RMP124	-	GATE_LINK
32	44	388	B12	RMP143	-	GATE_LINK
33	46	547	B14	RMP269	-	GATE_LINK
34	47	783	B15	RMP91	-	GATE_LINK
35	48	393	B16	RMP148	-	GATE_LINK
36	50	754	B3	RMP70	-	GATE_LINK
37	51	378	B4	RMP135	-	GATE_LINK
38	53	369	B6	RMP129	-	GATE_LINK
39	54	364	B7	RMP121	-	GATE_LINK
40	56	365	B9	RMP122	-	GATE_LINK
41	58	372	C11	RMP130	-	GATE_LINK
42	61	402	C14	RMP154s	-	GATE_LINK
43	63	455	C16	RMP198	-	GATE_LINK
44	64	380	C17	RMP137	-	GATE_LINK
45	66	399	C19	RMP152	-	GATE_LINK
46	71	349	C6	RMP107	-	GATE_LINK
47	73	351	C8	RMP109	-	GATE_LINK
48	76	344	D10	RMP103	-	GATE_LINK
49	78	708	D12	RMP429	-	GATE_LINK
50	79	444	D13	RMP189	-	GATE_LINK
51	81	451	D3	RMP195	-	GATE_LINK
52	82	725	D4	RMP502	-	GATE_LINK
53	83	361	D5	RMP117	-	GATE_LINK
54	84	734	D6	RMP533	-	GATE_LINK
55	85	688	D7	RMP405	-	GATE_LINK
56	86	786	D8	RMP95	-	GATE_LINK
57	87	534	D9	RMP256	-	GATE_LINK
58	88	575	E1	RMP294	-	GATE_LINK
59	89	651	E10	RMP366	-	GATE_LINK
60	90	726	E11	RMP503	-	GATE_LINK
61	91	350	E12	RMP108	-	GATE_LINK
62	94	668	E14A	RMP384	-	GATE_LINK
63	95	616	E15	RMP333	-	GATE_LINK
64	96	710	E16	RMP431	-	GATE_LINK
65	98	722	E17	RMP499	-	GATE_LINK
66	99	709	E18	RMP430	-	GATE_LINK
67	102	770	E20	RMP79s	-	GATE_LINK
68	103	651	E21	RMP366	-	GATE_LINK
69	106	659	E24	RMP373	-	GATE_LINK
70	107	669	E25	RMP386	-	GATE_LINK
71	109	670	E27	RMP387	-	GATE_LINK
72	111	671	E29	RMP388	-	GATE_LINK
73	112	576	E3	RMP295	-	GATE_LINK
74	113	653	E30	RMP368	-	GATE_LINK
75	120	645	E36	RMP360	-	GATE_LINK
76	121	644	E38A	RMP359	-	GATE_LINK
77	124	577	E5	RMP296	-	GATE_LINK
78	126	405	E6	RMP157	-	GATE_LINK
79	128	773	E8	RMP80s	-	GATE_LINK
80	130	131	EXIT0	EXIT1	E5	TAXI_LINK
